frame_index,transport_protocol,receive_time_ns,payload_bytes
0,tcp,27134480082654,616
1,udp,27134513212014,175
2,udp,27134546568984,95
3,udp,27134579921094,70
4,udp,27134613349524,123
5,udp,27134646708114,103
6,udp,27134680122594,132
7,udp,27134713487034,61
8,udp,27134746873164,56
9,udp,27134780240574,54
10,udp,27134813597724,87
11,udp,27134846912934,64
12,tcp,27134880347124,599
13,udp,27134913694104,105
14,udp,27134946990954,68
15,udp,27134980466094,35
16,udp,27135013892814,88
17,udp,27135047110104,142
18,udp,27135080492544,29
19,udp,27135113961204,38
20,udp,27135147343014,98
21,udp,27135180540864,26
22,udp,27135213964344,47
23,udp,27135247329684,43
24,tcp,27135280726164,459
25,udp,27135314049564,133
26,udp,27135347396814,218
27,udp,27135380773224,112
28,udp,27135414112914,49
29,udp,27135447545844,52
30,udp,27135480839094,52
31,udp,27135514304424,220
32,udp,27135547627824,499
33,udp,27135581031054,457
34,udp,27135614368764,398
35,udp,27135647713404,286
36,udp,27135681333624,2856
37,udp,27135714435354,1205
38,udp,27135747890694,788
39,udp,27135781210224,1413
40,udp,27135814561434,888
41,udp,27135847942434,2018
42,udp,27135881370054,2079
43,udp,27135914806674,1638
45,udp,27135981461844,1642
47,udp,27136048221234,1700
48,udp,27136128657834,5770
49,udp,27136174940964,1524
50,udp,27136200684924,1577
51,udp,27136227324474,1848
52,udp,27136258210674,1716
55,udp,27136315101204,1683
57,udp,27136381808214,1676
58,udp,27136415173014,2007
60,udp,27136553346324,7249
61,udp,27136599530994,1481
62,udp,27136624608414,1629
63,udp,27136651972824,1792
65,udp,27136657751724,967
67,udp,27136715487984,1927
68,udp,27136748839554,1389
70,udp,27136815681474,1248
71,udp,27136849034574,1293
72,udp,27137002158144,9287
73,udp,27137009466504,1140
74,udp,27137052671994,1597
75,udp,27137055304494,867
76,udp,27137070070434,1272
77,udp,27137091153744,892
78,udp,27137130476454,1611
79,udp,27137133330804,1326
80,udp,27137155405914,660
81,udp,27137182650984,1335
82,udp,27137216085714,817
83,udp,27137249344044,1194
84,udp,27137378308284,8549
85,udp,27137397477294,1242
86,udp,27137418191694,1145
87,udp,27137437287264,865
88,udp,27137451893634,1225
89,udp,27137496565854,1574
90,udp,27137498815494,988
91,udp,27137516351364,1445
92,udp,27137549667114,1238
93,udp,27137584168884,1581
94,udp,27137616413274,1506
95,udp,27137649831084,597
96,udp,27137778721164,8230
97,udp,27137792720304,936
98,udp,27137808467244,1270
99,udp,27137853863694,1473
100,udp,27137854475244,1097
101,udp,27137872935864,1125
102,udp,27137891681784,1375
103,udp,27137938705434,1517
104,udp,27137964314664,1909
105,udp,27137983328694,1191
106,udp,27138016780794,1991
107,udp,27138050082054,1252
108,udp,27138154791744,7301
109,udp,27138201946614,1474
110,udp,27138202591464,1278
111,udp,27138223919934,1367
112,udp,27138270866994,1679
113,udp,27138299121954,1918
115,udp,27138317206194,1381
116,udp,27138353975694,1597
117,udp,27138383850474,1948
118,udp,27138417212574,1591
119,udp,27138450681414,2074
120,udp,27138556496754,6332
121,udp,27138588099174,1617
122,udp,27138591037494,1289
123,udp,27138636723384,1715
124,udp,27138665509434,1809
125,udp,27138671636724,1460
126,udp,27138719910204,1848
127,udp,27138750858504,1745
128,udp,27138780113094,1620
129,udp,27138807367524,1862
130,udp,27138838545504,1748
131,udp,27138867866784,1886
132,udp,27138947883354,5243
133,udp,27138985641234,1877
135,udp,27139017134664,1871
136,udp,27139048341174,1892
137,udp,27139079906514,1763
139,udp,27139117870854,1980
144,udp,27139331820114,4994
145,udp,27139365763794,1512
148,udp,27139418163504,1283
