frame_index,transport_protocol,receive_time_ns,payload_bytes
0,tcp,33215206191264,616
1,udp,33215239416384,175
2,udp,33215272733484,95
3,udp,33215306062014,70
4,udp,33215339417994,123
5,udp,33215372823564,103
6,udp,33215406238494,132
7,udp,33215439550914,61
8,udp,33215473008504,56
9,udp,33215506346934,54
10,udp,33215539714524,87
11,udp,33215573035404,64
12,tcp,33215606668314,599
13,udp,33215639820534,105
14,udp,33215673241404,68
15,udp,33215706510624,35
16,udp,33215739953544,88
17,udp,33215773297644,142
18,udp,33215806654704,29
19,udp,33215840073504,38
20,udp,33215873379714,98
21,udp,33215906787444,26
22,udp,33215940196164,47
23,udp,33215973416694,43
24,tcp,33216006816684,459
25,udp,33216040194984,133
26,udp,33216073554294,218
27,udp,33216107027004,112
28,udp,33216140234664,49
29,udp,33216173698644,52
30,udp,33216207061104,52
31,udp,33216240513024,220
32,udp,33216273809154,499
33,udp,33216307154964,457
34,udp,33216340510224,398
35,udp,33216373923804,286
36,tcp,33216407233254,2856
37,udp,33216440688504,1205
38,udp,33216473885274,788
39,udp,33216507414054,1413
40,udp,33216540720354,888
41,udp,33216574255524,2018
42,udp,33216607446354,2079
43,udp,33216640797204,1638
44,udp,33216674171814,2116
45,udp,33216707611674,1642
46,udp,33216740871804,2168
47,udp,33216774306714,1700
48,tcp,33216808708044,5770
49,udp,33216841061964,1524
50,udp,33216874362234,1577
51,udp,33216907802904,1848
52,udp,33216941095254,1716
53,udp,33216974446914,2360
54,udp,33217007789754,2301
55,udp,33217041204054,1683
56,udp,33217074505404,2458
57,udp,33217108068474,1676
58,udp,33217141298634,2007
59,udp,33217174623654,2245
60,tcp,33217211619774,7249
61,udp,33217241474664,1481
62,udp,33217274783304,1629
63,udp,33217308161694,1792
64,udp,33217341502014,2160
65,udp,33217374806424,967
66,udp,33217408262754,2346
67,udp,33217441665714,1927
68,udp,33217474859514,1389
69,udp,33217508402424,2586
70,udp,33217541700894,1248
71,udp,33217575058944,1293
72,tcp,33217614305694,9287
73,udp,33217641852174,1140
74,udp,33217675092234,1597
75,udp,33217708551084,867
76,udp,33217741904544,1272
77,udp,33217775241084,892
78,udp,33217808592114,1611
79,udp,33217841961684,1326
80,udp,33217875391284,660
81,udp,33217908802794,1335
82,udp,33217942071204,817
83,udp,33217975496214,1194
84,tcp,33218012379924,8549
85,udp,33218042315904,1242
86,udp,33218075576394,1145
87,udp,33218108884224,865
88,udp,33218142371424,1225
89,udp,33218175638754,1574
90,udp,33218209031364,988
91,udp,33218242312374,1445
92,udp,33218275885524,1238
93,udp,33218309239344,1581
94,udp,33218342534034,1506
95,udp,33218375837634,597
96,tcp,33218412739974,8230
97,udp,33218442585414,936
98,udp,33218475968574,1270
99,udp,33218509349214,1473
100,udp,33218542660374,1097
101,udp,33218576126694,1125
102,udp,33218609430294,1375
103,udp,33218642807064,1517
104,udp,33218676196884,1909
105,udp,33218709616674,1191
106,udp,33218742921264,1991
107,udp,33218776307394,1252
108,tcp,33218813142594,7301
109,udp,33218842978494,1474
110,udp,33218876376594,1278
111,udp,33218909676144,1367
112,udp,33218943087564,1679
113,udp,33218976507444,1918
114,udp,33219009818514,2091
115,udp,33219043195194,1381
116,udp,33219076589244,1597
117,udp,33219109965114,1948
118,udp,33219143237574,1591
119,udp,33219176642244,2074
120,tcp,33219213552054,6332
121,udp,33219243439164,1617
122,udp,33219276701094,1289
123,udp,33219310060494,1715
124,udp,33219343477854,1809
125,udp,33219376840764,1460
126,udp,33219410223834,1848
127,udp,33219443623734,1745
128,udp,33219476915364,1620
129,udp,33219510325434,1862
130,udp,33219543655314,1748
131,udp,33219577101204,1886
132,tcp,33219611436024,5243
133,udp,33219643772304,1877
134,udp,33219677200014,2217
135,udp,33219710533854,1871
136,udp,33219743843844,1892
137,udp,33219777277134,1763
138,udp,33219810643374,2151
139,udp,33219844051914,1980
140,udp,33219877322934,2131
141,udp,33219910637244,2095
142,udp,33219944153694,2206
143,udp,33219977486004,2536
144,tcp,33220011883644,4994
145,udp,33220044175464,1512
146,udp,33220077611004,2530
147,udp,33220112212764,3125
148,udp,33220144313064,1283
149,udp,33220177625034,2348
150,udp,33220211005674,775
151,udp,33220244538774,2217
152,udp,33220277801334,2574
153,udp,33220311158394,1384
154,udp,33220344513114,1860
155,udp,33220377884214,1568
156,tcp,33220414885734,5943
157,udp,33220444678884,2089
158,udp,33220477943604,998
159,udp,33220511363574,2037
160,udp,33220544685444,836
161,udp,33220578031074,1636
162,udp,33220611560124,1633
163,udp,33220644844554,1218
164,udp,33220678135464,2362
165,udp,33220711492074,1164
166,udp,33220744903944,2211
167,udp,33220778286024,2177
168,tcp,33220815217164,6107
169,udp,33220844974584,876
170,udp,33220878434424,1740
171,udp,33220911860424,2226
172,udp,33220945110924,988
173,udp,33220978494984,2101
174,udp,33221011892004,1155
175,udp,33221045227284,2044
176,udp,33221078678124,2435
177,udp,33221111943204,921
178,udp,33221145286224,2258
179,udp,33221178660384,1202
180,tcp,33221213136504,5523
181,udp,33221245375944,2364
182,udp,33221278812024,962
183,udp,33221312126874,2550
184,udp,33221345479884,1210
185,udp,33221378919204,2125
186,udp,33221412285174,2344
187,udp,33221445675804,1567
188,udp,33221478908754,2556
189,udp,33221512369944,1382
190,udp,33221545679034,1578
191,udp,33221579028444,2212
192,tcp,33221615928714,6604
193,udp,33221645880714,1952
194,udp,33221679297444,1326
195,udp,33221712463344,2091
196,udp,33221745864774,1800
197,udp,33221779189614,1316
198,udp,33221812616154,2746
199,udp,33221845956654,1409
200,udp,33221879350704,1679
201,udp,33221912764914,2564
202,udp,33221946111084,964
203,udp,33221979558324,2417
204,tcp,33222016419624,7852
205,udp,33222046158684,1252
206,udp,33222079556964,1935
207,udp,33222112945524,1274
208,udp,33222146308524,2135
209,udp,33222179645874,1467
210,udp,33222213023364,1648
211,udp,33222246396354,1772
212,udp,33222279848454,972
213,udp,33222313129104,1906
214,udp,33222346529634,1622
215,udp,33222379882554,1418
216,tcp,33222416756904,8284
217,udp,33222446531694,1386
218,udp,33222480138414,1493
219,udp,33222513310884,1474
220,udp,33222546727164,1409
221,udp,33222580146864,1610
222,udp,33222613442274,1081
223,udp,33222646754154,1387
224,udp,33222680201844,2051
225,udp,33222713593014,1047
226,udp,33222746883924,1525
227,udp,33222780183384,1559
228,tcp,33222819499524,8989
229,udp,33222846916314,1365
230,udp,33222880431414,1059
231,udp,33222913712604,1227
232,udp,33222947143554,1109
233,udp,33222980548584,1317
234,udp,33223013883684,1599
235,udp,33223047219684,1221
236,udp,33223080530124,1133
237,udp,33223113925794,1067
238,udp,33223147294014,1279
239,udp,33223180782744,1448
240,tcp,33223217588424,8537
241,udp,33223247328654,965
242,udp,33223280756184,1114
243,udp,33223314253734,983
244,udp,33223347644634,1677
245,udp,33223380784074,947
246,udp,33223414300884,1187
247,udp,33223447582344,981
248,udp,33223481020584,1711
249,udp,33223514347494,1015
250,udp,33223547672604,1008
251,udp,33223581085284,1435
252,tcp,33223620261204,9273
253,udp,33223647760164,1468
254,udp,33223681151604,927
255,udp,33223714495164,774
256,udp,33223747922784,1004
257,udp,33223781272824,1129
258,udp,33223814612424,1117
259,udp,33223847976144,1003
260,udp,33223881374514,786
261,udp,33223914738234,1617
262,udp,33223948103664,890
263,udp,33223981430034,1256
264,tcp,33224020784334,9196
265,udp,33224048230014,1215
266,udp,33224081600574,923
267,udp,33224114984274,454
268,udp,33224148260244,1097
269,udp,33224181607764,1017
270,udp,33224215057164,829
271,udp,33224248394154,1192
272,udp,33224281752924,882
273,udp,33224315161194,1509
274,udp,33224348488644,1067
275,udp,33224381897994,782
276,tcp,33224421229164,9347
277,udp,33224448549114,1276
278,udp,33224482026774,1606
