frame_index,transport_protocol,receive_time_ns,payload_bytes
0,tcp,10198561040576,616
1,udp,10198594338674,175
2,udp,10198627626689,95
3,udp,10198660979513,70
4,udp,10198694449853,123
5,udp,10198727946043,103
6,udp,10198761153392,132
7,udp,10198794440674,61
8,udp,10198827841622,56
9,udp,10198861181979,54
10,udp,10198894549836,87
11,udp,10198927933643,64
12,tcp,10198961319833,599
13,udp,10198994617107,105
14,udp,10199027985605,68
15,udp,10199061440179,35
16,udp,10199094748636,88
17,udp,10199128114109,142
18,udp,10199161443008,29
19,udp,10199194844598,38
20,udp,10199228242797,98
21,udp,10199261635220,26
22,udp,10199294925436,47
23,udp,10199328339859,43
24,tcp,10199361682599,459
25,udp,10199395048806,133
26,udp,10199428411897,218
27,udp,10199461759403,112
28,udp,10199495143394,49
29,udp,10199528481184,52
30,udp,10199561863616,52
31,udp,10199595275839,220
32,udp,10199628638196,499
33,udp,10199661973878,457
34,udp,10199695396185,398
35,udp,10199728726917,286
36,tcp,10199762029141,2856
37,udp,10199795472072,1205
38,udp,10199828802071,788
39,udp,10199862196786,1413
40,udp,10199895539710,888
41,udp,10199929139300,2018
42,udp,10199962310349,2079
43,udp,10199995696539,1638
44,udp,10200029007562,2116
45,udp,10200062322528,1642
46,udp,10200095810835,2168
47,udp,10200129097475,1700
48,tcp,10200173894881,5770
49,udp,10200210159038,1524
50,udp,10200229316271,1577
51,udp,10200262576144,1848
52,udp,10200295920809,1716
53,udp,10200329343483,2360
54,udp,10200362635348,2301
55,udp,10200396047205,1683
56,udp,10200429476662,2458
57,udp,10200462743777,1676
58,udp,10200496131434,2007
59,udp,10200529533574,2245
60,tcp,10200598560405,7249
61,udp,10200623389970,1481
62,udp,10200635910445,1629
63,udp,10200662911685,1792
64,udp,10200696374142,2160
65,udp,10200729722841,967
66,udp,10200763100598,2346
67,udp,10200796445354,1927
68,udp,10200829772236,1389
69,udp,10200863144585,2586
70,udp,10200896508867,1248
71,udp,10200929864165,1293
72,tcp,10201023068903,9287
73,udp,10201028447628,1140
74,udp,10201050091502,1597
75,udp,10201063389951,867
76,udp,10201096668250,1272
77,udp,10201130034915,892
78,udp,10201163500672,1611
79,udp,10201196825354,1326
80,udp,10201230229144,660
81,udp,10201263524401,1335
82,udp,10201296925808,817
83,udp,10201330300815,1194
84,tcp,10201399259262,8549
85,udp,10201422419669,1242
86,udp,10201432745277,1145
87,udp,10201463740801,865
88,udp,10201497092158,1225
89,udp,10201530485681,1574
90,udp,10201563873430,988
91,udp,10201597239912,1445
92,udp,10201630558819,1238
93,udp,10201663881301,1581
94,udp,10201697297741,1506
95,udp,10201730621139,597
96,tcp,10201799723320,8230
97,udp,10201820341902,936
98,udp,10201830760460,1270
99,udp,10201864182034,1473
100,udp,10201897549157,1097
101,udp,10201930972197,1125
102,udp,10201964307879,1375
103,udp,10201997646953,1517
104,udp,10202031040935,1909
105,udp,10202064412275,1191
106,udp,10202097742365,1991
107,udp,10202131149730,1252
108,tcp,10202200157402,7301
109,udp,10202225431826,1474
110,udp,10202231175476,1278
111,udp,10202264560933,1367
112,udp,10202298039523,1679
113,udp,10202331279597,1918
114,udp,10202364729037,2091
115,udp,10202398010177,1381
116,udp,10202431436426,1597
117,udp,10202464832791,1948
118,udp,10202498167281,1591
119,udp,10202531522855,2074
120,tcp,10202600484877,6332
121,udp,10202617572735,1617
122,udp,10202631653467,1289
123,udp,10202665031041,1715
124,udp,10202698364889,1809
125,udp,10202731703138,1460
126,udp,10202765127003,1848
127,udp,10202798412910,1745
128,udp,10202831820825,1620
129,udp,10202865173282,1862
130,udp,10202898503464,1748
131,udp,10202931991588,1886
132,tcp,10202976719786,5243
133,udp,10203008768376,1877
134,udp,10203032086908,2217
135,udp,10203065370340,1871
136,udp,10203098710789,1892
137,udp,10203132115129,1763
138,udp,10203165420103,2151
139,udp,10203198840576,1980
140,udp,10203232172591,2131
141,udp,10203265653473,2095
142,udp,10203298969722,2206
143,udp,10203332331529,2536
144,tcp,10203377037360,4994
145,udp,10203407067084,1512
146,udp,10203432416491,2530
147,udp,10203477189239,3125
148,udp,10203499171822,1283
149,udp,10203532510895,2348
150,udp,10203565828244,775
151,udp,10203599244134,2217
152,udp,10203632606949,2574
153,udp,10203665947765,1384
154,udp,10203699390696,1860
155,udp,10203732692920,1568
156,tcp,10203801768425,5943
157,udp,10203815980333,2089
158,udp,10203832773299,998
159,udp,10203866195789,2037
160,udp,10203899666588,836
161,udp,10203932940853,1636
162,udp,10203966322735,1633
163,udp,10203999700033,1218
164,udp,10204033080082,2362
165,udp,10204066369564,1164
166,udp,10204099799479,2211
167,udp,10204133146894,2177
168,tcp,10204202152733,6107
169,udp,10204205271141,876
170,udp,10204233260732,1740
171,udp,10204266564972,2226
172,udp,10204299928979,988
173,udp,10204333336161,2101
174,udp,10204366632151,1155
175,udp,10204400112575,2044
176,udp,10204433408748,2435
177,udp,10204466737922,921
178,udp,10204500209454,2258
179,udp,10204533571627,1202
180,tcp,10204578377559,5523
181,udp,10204612681515,2364
182,udp,10204633745415,962
183,udp,10204667110063,2550
184,udp,10204700459037,1210
185,udp,10204733810119,2125
186,udp,10204767219500,2344
187,udp,10204800494041,1567
188,udp,10204833859239,2556
189,udp,10204867255880,1382
190,udp,10204900628686,1578
191,udp,10204934055852,2212
192,tcp,10205002974149,6604
193,udp,10205022154848,1952
194,udp,10205034007806,1326
195,udp,10205067450004,2091
196,udp,10205100803011,1800
197,udp,10205134151343,1316
198,udp,10205167637175,2746
199,udp,10205200845532,1409
200,udp,10205234373072,1679
201,udp,10205267675846,2564
202,udp,10205300953503,964
203,udp,10205334363159,2417
