frame_index,transport_protocol,receive_time_ns,payload_bytes
0,tcp,12462597334854,616
1,udp,12462630602274,175
2,udp,12462663887964,95
3,udp,12462697231164,70
4,udp,12462730675074,123
5,udp,12462763939884,103
6,udp,12462797291454,132
7,udp,12462830708274,61
8,udp,12462864094854,56
9,udp,12462897357954,54
10,udp,12462930730944,87
11,udp,12462964160364,64
12,tcp,12462997512204,599
13,udp,12463030886994,105
14,udp,12463064236224,68
15,udp,12463097642874,35
16,udp,12463130993274,88
17,udp,12463164412974,142
18,udp,12463197875334,29
19,udp,12463231062744,38
20,udp,12463264460664,98
21,udp,12463297851384,26
22,udp,12463331189454,47
23,udp,12463364509254,43
24,tcp,12463397974854,459
25,udp,12463431298974,133
26,udp,12463464684744,218
27,udp,12463497985464,112
28,udp,12463531350264,49
29,udp,12463564781844,52
30,udp,12463598118654,52
31,udp,12463631511804,220
32,udp,12463664907204,499
33,udp,12463698312144,457
34,udp,12463731667674,398
35,udp,12463765034004,286
36,tcp,12463798360104,2856
37,udp,12463831771884,1205
38,udp,12463865086194,788
39,udp,12463898446404,1413
40,udp,12463931801574,888
41,udp,12463965468234,2018
42,udp,12463998574194,2079
43,udp,12464032284144,1638
44,udp,12464065253394,2116
45,udp,12464099158104,1642
46,udp,12464132041314,2168
47,udp,12464166672774,1700
48,tcp,12464221586004,5770
49,udp,12464294084694,1524
50,udp,12464319765474,1577
51,udp,12464346356514,1848
52,udp,12464377245054,1716
53,udp,12464406070524,2360
54,udp,12464445158424,2301
55,udp,12464483270814,1683
56,udp,12464511664824,2458
57,udp,12464552255904,1676
58,udp,12464580439584,2007
59,udp,12464613928404,2245
60,tcp,12464723833794,7249
61,udp,12464773586964,1481
62,udp,12464798649714,1629
63,udp,12464826054804,1792
64,udp,12464856095994,2160
65,udp,12464867753424,967
66,udp,12464908263144,2346
67,udp,12464947135224,1927
68,udp,12464955065574,1389
69,udp,12465002347794,2586
70,udp,12465020812554,1248
71,udp,12465041588334,1293
72,tcp,12465208408914,9287
73,udp,12465219113784,1140
74,udp,12465262403334,1597
75,udp,12465265021524,867
76,udp,12465279721314,1272
77,udp,12465301995144,892
78,udp,12465341332884,1611
79,udp,12465344172114,1326
80,udp,12465366247134,660
81,udp,12465378728064,1335
82,udp,12465400881474,817
83,udp,12465414817164,1194
84,tcp,12465531575244,8549
85,udp,12465577932084,1242
86,udp,12465598597614,1145
87,udp,12465617710014,865
88,udp,12465632324664,1225
89,udp,12465676976274,1574
90,udp,12465679261914,988
91,udp,12465695893554,1445
92,udp,12465719760114,1238
93,udp,12465764648244,1581
94,udp,12465791260794,1506
95,udp,12465792423144,597
96,tcp,12465899752914,8230
97,udp,12465940983624,936
98,udp,12465956743344,1270
99,udp,12466002071934,1473
100,udp,12466002683574,1097
101,udp,12466021181814,1125
102,udp,12466039955364,1375
103,udp,12466086996744,1517
104,udp,12466112602734,1909
105,udp,12466120246344,1191
106,udp,12466164381804,1991
107,udp,12466173307194,1252
108,tcp,12466291007034,7301
109,udp,12466341637074,1474
110,udp,12466342251414,1278
111,udp,12466363587534,1367
112,udp,12466410512994,1679
113,udp,12466438708464,1918
114,udp,12466470757734,2091
115,udp,12466481308974,1381
116,udp,12466528412994,1597
117,udp,12466555328754,1948
118,udp,12466587829644,1591
119,udp,12466614638574,2074
120,tcp,12466721809584,6332
121,udp,12466755925884,1617
122,udp,12466758776094,1289
123,udp,12466804593924,1715
124,udp,12466833267924,1809
125,udp,12466839357594,1460
126,udp,12466887731244,1848
127,udp,12466918655964,1745
128,udp,12466947914784,1620
129,udp,12466975200984,1862
130,udp,12467006337654,1748
131,udp,12467035622574,1886
132,tcp,12467091361554,5243
133,udp,12467155416084,1877
134,udp,12467186747784,2217
135,udp,12467223549684,1871
136,udp,12467254851684,1892
137,udp,12467286508194,1763
138,udp,12467316107034,2151
139,udp,12467351781144,1980
140,udp,12467384847864,2131
141,udp,12467420228754,2095
142,udp,12467455097724,2206
143,udp,12467492034264,2536
144,tcp,12467557906884,4994
145,udp,12467617998894,1512
146,udp,12467643485994,2530
147,udp,12467709556254,3125
148,udp,12467712963834,1283
149,udp,12467758497354,2348
150,udp,12467773167984,775
151,udp,12467810603664,2217
152,udp,12467847459384,2574
153,udp,12467865723354,1384
154,udp,12467912905404,1860
155,udp,12467944059084,1568
156,tcp,12468043158894,5943
157,udp,12468070979334,2089
158,udp,12468081519594,998
159,udp,12468122717454,2037
160,udp,12468132212904,836
161,udp,12468170686104,1636
162,udp,12468198144744,1633
163,udp,12468201406974,1218
164,udp,12468245867064,2362
165,udp,12468260789694,1164
166,udp,12468304427544,2211
167,udp,12468341133144,2177
168,tcp,12468449964834,6107
169,udp,12468456182484,876
170,udp,12468495238794,1740
171,udp,12468524440914,2226
172,udp,12468537147384,988
173,udp,12468578008194,2101
174,udp,12468588710544,1155
175,udp,12468632234904,2044
176,udp,12468666285144,2435
177,udp,12468682366164,921
178,udp,12468722139054,2258
179,udp,12468735422694,1202
180,tcp,12468803836374,5523
181,udp,12468872441934,2364
182,udp,12468887313444,962
183,udp,12468927709764,2550
184,udp,12468945652344,1210
185,udp,12468990038364,2125
186,udp,12469025363994,2344
187,udp,12469064256144,1567
188,udp,12469090627314,2556
189,udp,12469108636764,1382
190,udp,12469155784074,1578
191,udp,12469182408954,2212
192,tcp,12469291763544,6604
193,udp,12469330202454,1952
194,udp,12469338516564,1326
195,udp,12469384768104,2091
196,udp,12469419598104,1800
197,udp,12469425453144,1316
198,udp,12469471570854,2746
199,udp,12469492626624,1409
200,udp,12469540182534,1679
201,udp,12469568435424,2564
202,udp,12469586559894,964
203,udp,12469626973494,2417
204,tcp,12469739744394,7852
205,udp,12469774880214,1252
206,udp,12469819982004,1935
207,udp,12469827983184,1274
208,udp,12469873425984,2135
209,udp,12469908927024,1467
210,udp,12469933776834,1648
211,udp,12469961494494,1772
212,udp,12469966901874,972
213,udp,12470007505914,1906
214,udp,12470039408034,1622
215,udp,12470042417814,1418
216,tcp,12470162768064,8284
217,udp,12470204894724,1386
218,udp,12470252155074,1493
219,udp,12470277559374,1474
220,udp,12470278175784,1409
221,udp,12470325670944,1610
222,udp,12470328524304,1081
223,udp,12470346650664,1387
224,udp,12470393871864,2051
225,udp,12470403785184,1047
226,udp,12470445591534,1525
227,udp,12470471345394,1559
228,tcp,12470618725974,8989
229,udp,12470624737254,1365
230,udp,12470647429764,1059
231,udp,12470665148424,1227
232,udp,12470685560784,1109
233,udp,12470704151094,1317
234,udp,12470750184474,1599
235,udp,12470752846944,1221
236,udp,12470773210074,1133
237,udp,12470792165874,1067
238,udp,12470809997304,1279
239,udp,12470831230464,1448
240,tcp,12470952136554,8537
241,udp,12470998291794,965
242,udp,12471014498004,1114
243,udp,12471033171744,983
244,udp,12471073864254,1677
245,udp,12471077820384,947
246,udp,12471093804924,1187
247,udp,12471113581704,981
248,udp,12471154298964,1711
249,udp,12471158783304,1015
250,udp,12471175838304,1008
251,udp,12471192740124,1435
252,tcp,12471361873524,9273
253,udp,12471396653124,1468
254,udp,12471397185384,927
255,udp,12471412838904,774
256,udp,12471426025614,1004
257,udp,12471442937784,1129
258,udp,12471461802324,1117
259,udp,12471480445914,1003
260,udp,12471497323074,786
261,udp,12471534904374,1617
262,udp,12471537893364,890
263,udp,12471552941814,1256
264,tcp,12471719195754,9196
