frame_index,transport_protocol,receive_time_ns,payload_bytes
0,tcp,14216461021674,616
1,tcp,14216494308264,175
2,tcp,14216527676574,95
3,tcp,14216560975494,70
4,tcp,14216594428404,123
5,tcp,14216627812554,103
6,tcp,14216661056214,132
7,tcp,14216694423984,61
8,tcp,14216727892194,56
9,tcp,14216761251864,54
10,tcp,14216794606854,87
11,tcp,14216827980114,64
12,tcp,14216861320524,599
13,tcp,14216894710344,105
14,tcp,14216928127524,68
15,tcp,14216961416274,35
16,tcp,14216994751374,88
17,tcp,14217028280784,142
18,tcp,14217329668104,29
19,tcp,14217329678004,38
20,tcp,14217329679624,98
21,tcp,14217329680974,26
22,tcp,14217329682234,47
23,tcp,14217329683314,43
24,tcp,14217329685474,459
25,tcp,14217363047304,133
26,tcp,14217363059184,218
27,tcp,14217363061434,112
28,tcp,14217429906234,49
29,tcp,14217429922704,52
30,tcp,14217461834364,52
31,tcp,14217495213294,220
32,tcp,14217528626784,499
33,tcp,14217561961434,457
34,tcp,14217595500474,398
35,tcp,14217628657914,286
36,tcp,14217662033874,2856
37,tcp,14217695461134,1205
38,tcp,14217728831694,788
39,tcp,14217897551094,1413
40,tcp,14217897560544,888
41,tcp,14217897563604,2018
42,tcp,14217897565314,2079
43,tcp,14217962483574,1638
44,tcp,14217962498334,2116
45,tcp,14217995879424,1642
46,tcp,14218062691374,2168
47,tcp,14218062708834,1700
48,tcp,14218162965684,5770
49,tcp,14218162980804,1524
50,tcp,14218206733044,1577
51,tcp,14218206747624,1848
52,tcp,14218263216414,1716
53,tcp,14218303485924,2360
54,tcp,14218327741464,2301
55,tcp,14218376190534,1683
56,tcp,14218427959434,2458
57,tcp,14218427970414,1676
58,tcp,14218474192614,2007
59,tcp,14218515586584,2245
60,tcp,14218783970724,7249
61,tcp,14218837044984,1481
62,tcp,14218837055334,1629
63,tcp,14218837057674,1792
64,tcp,14218837061004,2160
65,tcp,14218837064064,967
66,tcp,14218837066494,2346
67,tcp,14218859885814,1927
68,tcp,14218884158994,1389
69,tcp,14218937272494,2586
70,tcp,14218960181454,1248
71,tcp,14218960196214,1293
72,tcp,14219304657714,9287
73,tcp,14219304671484,1140
74,tcp,14219304673554,1597
75,tcp,14219304679224,867
76,tcp,14219304682644,1272
77,tcp,14219304685974,892
78,tcp,14219304688134,1611
79,tcp,14219380451484,1326
80,tcp,14219380459764,660
81,tcp,14219398284264,1335
82,tcp,14219404846254,817
83,tcp,14219404859934,1194
84,tcp,14219545523634,8549
85,tcp,14219598667554,1242
86,tcp,14219598679974,1145
