frame_index,transport_protocol,receive_time_ns,payload_bytes
0,tcp,5334875340266,616
1,udp,5334908514431,175
2,udp,5334941903554,95
3,udp,5334975229518,70
4,udp,5335008635691,123
5,udp,5335042014273,103
6,udp,5335075299446,132
7,udp,5335108713319,61
8,udp,5335142112159,56
9,udp,5335175444907,54
10,udp,5335208870146,87
11,udp,5335242138269,64
12,tcp,5335275516393,599
13,udp,5335308904599,105
14,udp,5335342299039,68
15,udp,5335375623537,35
16,udp,5335408963526,88
17,udp,5335442398116,142
18,udp,5335475702906,29
19,udp,5335509180487,38
20,udp,5335542434402,98
21,udp,5335575833700,26
22,udp,5335609153981,47
23,udp,5335642561346,43
24,tcp,5335675938827,459
25,udp,5335709323642,133
26,udp,5335742622565,218
27,udp,5335776090888,112
28,udp,5335809386511,49
29,udp,5335842849701,52
30,udp,5335876122682,52
31,udp,5335909529589,220
32,udp,5335942833645,499
33,udp,5335976202785,457
34,udp,5336009642416,398
35,udp,5336043048681,286
36,tcp,5336076336787,2856
37,udp,5336109678794,1205
38,udp,5336143036384,788
39,udp,5336176522398,1413
40,udp,5336209745696,888
41,udp,5336243395611,2018
42,udp,5336276573167,2079
43,udp,5336309978057,1638
44,udp,5336343270014,2116
45,udp,5336376649512,1642
46,udp,5336409980793,2168
47,udp,5336443363224,1700
48,tcp,5336488131388,5770
49,udp,5336524364195,1524
50,udp,5336543485127,1577
51,udp,5336576797892,1848
52,udp,5336610155390,1716
53,udp,5336643530488,2360
54,udp,5336676939594,2301
55,udp,5336710365476,1683
56,udp,5336743650924,2458
57,udp,5336777157197,1676
58,udp,5336810422478,2007
59,udp,5336843711226,2245
60,tcp,5336912782422,7249
61,udp,5336937764796,1481
62,udp,5336950289028,1629
63,udp,5336977221152,1792
64,udp,5337010574616,2160
65,udp,5337043945773,967
66,udp,5337077399887,2346
67,udp,5337110694502,1927
68,udp,5337144221950,1389
69,udp,5337177525548,2586
70,udp,5337210858388,1248
71,udp,5337244130361,1293
72,tcp,5337337397706,9287
73,udp,5337342797789,1140
74,udp,5337364424337,1597
75,udp,5337377669712,867
76,udp,5337410989810,1272
77,udp,5337444338874,892
78,udp,5337477718372,1611
79,udp,5337511093379,1326
80,udp,5337544484519,660
81,udp,5337577872450,1335
82,udp,5337611299065,817
83,udp,5337644671138,1194
84,tcp,5337713644159,8549
85,udp,5337736823449,1242
86,udp,5337747156665,1145
87,udp,5337778058230,865
88,udp,5337811546903,1225
89,udp,5337844969301,1574
90,udp,5337878156024,988
91,udp,5337911673480,1445
92,udp,5337944914379,1238
93,udp,5337978339068,1581
94,udp,5338011570341,1506
95,udp,5338044993931,597
96,tcp,5338114047985,8230
97,udp,5338134655384,936
98,udp,5338145089250,1270
99,udp,5338178578290,1473
100,udp,5338211791871,1097
101,udp,5338245298328,1125
102,udp,5338278611459,1375
103,udp,5338311970515,1517
104,udp,5338345350197,1909
105,udp,5338378602095,1191
106,udp,5338412043926,1991
107,udp,5338445356783,1252
108,tcp,5338514405429,7301
109,udp,5338539695711,1474
110,udp,5338545362269,1278
111,udp,5338578803825,1367
112,udp,5338612219165,1679
113,udp,5338645589404,1918
114,udp,5338678920869,2091
115,udp,5338712332175,1381
116,udp,5338745714424,1597
117,udp,5338779039288,1948
118,udp,5338812373870,1591
119,udp,5338845794434,2074
120,tcp,5338914743439,6332
121,udp,5338931812504,1617
122,udp,5338945858587,1289
123,udp,5338979283460,1715
124,udp,5339012583575,1809
125,udp,5339045966556,1460
126,udp,5339079366496,1848
127,udp,5339112748560,1745
128,udp,5339146070767,1620
129,udp,5339179461632,1862
130,udp,5339212768438,1748
131,udp,5339246195878,1886
132,tcp,5339290914450,5243
133,udp,5339322920598,1877
134,udp,5339346358480,2217
135,udp,5339379633112,1871
136,udp,5339413029476,1892
137,udp,5339446378999,1763
138,udp,5339479757031,2151
139,udp,5339513132037,1980
140,udp,5339546514010,2131
141,udp,5339579860417,2095
142,udp,5339613180606,2206
143,udp,5339646468804,2536
