frame_index,transport_protocol,receive_time_ns,payload_bytes
0,tcp,6141847056129,616
1,tcp,6141880081704,175
2,tcp,6141913278696,95
3,tcp,6141946633721,70
4,tcp,6141979983612,123
5,tcp,6142013381995,103
6,tcp,6142046696779,132
7,tcp,6142080199295,61
8,tcp,6142113522329,56
9,tcp,6142146884045,54
10,tcp,6142180199104,87
11,tcp,6142213594095,64
12,tcp,6142246894304,599
13,tcp,6142280285170,105
14,tcp,6142313632312,68
15,tcp,6142347035187,35
16,tcp,6142380371420,88
17,tcp,6142413760545,142
18,tcp,6142447251787,29
19,tcp,6142480470870,38
20,tcp,6142513868245,98
21,tcp,6142547233812,26
22,tcp,6142580642370,47
23,tcp,6142613935887,43
24,tcp,6142647377445,459
25,tcp,6142680730912,133
26,tcp,6142714052020,218
27,tcp,6142747393845,112
28,tcp,6142780845762,49
29,tcp,6142814336820,52
30,tcp,6142847508787,52
31,tcp,6142880859228,220
32,tcp,6142914306011,499
33,tcp,6142947651595,457
34,tcp,6142981000936,398
35,tcp,6143014380161,286
36,tcp,6143047764703,2856
37,tcp,6143081164186,1205
38,tcp,6143114461461,788
39,tcp,6143147822811,1413
40,tcp,6143181271886,888
41,tcp,6143214585845,2018
42,tcp,6143247983403,2079
43,tcp,6143281331186,1638
44,tcp,6143314800978,2116
45,tcp,6143348097245,1642
46,tcp,6143381392136,2168
47,tcp,6143414749086,1700
48,tcp,6143459561436,5770
49,tcp,6143483717344,1524
50,tcp,6143514895744,1577
51,tcp,6143548303019,1848
52,tcp,6143581615236,1716
53,tcp,6143615024161,2360
54,tcp,6143648371761,2301
55,tcp,6143681917269,1683
56,tcp,6143715096111,2458
57,tcp,6143748528778,1676
58,tcp,6143781774811,2007
59,tcp,6143815211877,2245
60,tcp,6143884147136,7249
61,tcp,6143896925194,1481
62,tcp,6143915272369,1629
63,tcp,6143948626111,1792
64,tcp,6143982072986,2160
65,tcp,6144015427736,967
66,tcp,6144048865077,2346
67,tcp,6144082070502,1927
68,tcp,6144115559727,1389
69,tcp,6144148882302,2586
70,tcp,6144182361077,1248
71,tcp,6144215568886,1293
72,tcp,6144308837977,9287
73,tcp,6144314146944,1140
74,tcp,6144323893860,1597
75,tcp,6144349037752,867
76,tcp,6144382385077,1272
77,tcp,6144415779977,892
78,tcp,6144449180835,1611
79,tcp,6144482490577,1326
80,tcp,6144515925352,660
81,tcp,6144549245544,1335
82,tcp,6144582650069,817
83,tcp,6144616050469,1194
84,tcp,6144685049619,8549
85,tcp,6144708217910,1242
86,tcp,6144718811735,1145
87,tcp,6144749450127,865
88,tcp,6144782834118,1225
89,tcp,6144816147527,1574
90,tcp,6144849552877,988
91,tcp,6144882912943,1445
92,tcp,6144916365043,1238
93,tcp,6144949605577,1581
94,tcp,6144982974077,1506
95,tcp,6145016334877,597
96,tcp,6145085461535,8230
97,tcp,6145106054085,936
98,tcp,6145116551660,1270
99,tcp,6145149847010,1473
100,tcp,6145183167751,1097
101,tcp,6145216536343,1125
102,tcp,6145249916485,1375
103,tcp,6145283365743,1517
104,tcp,6145316668793,1909
105,tcp,6145350064243,1191
106,tcp,6145383486826,1991
107,tcp,6145416851843,1252
108,tcp,6145485797460,7301
109,tcp,6145498972160,1474
110,tcp,6145516933510,1278
111,tcp,6145550267818,1367
112,tcp,6145583697643,1679
113,tcp,6145617073568,1918
114,tcp,6145650459301,2091
115,tcp,6145683734301,1381
116,tcp,6145717031943,1597
117,tcp,6145750561501,1948
118,tcp,6145783860243,1591
119,tcp,6145817153301,2074
120,tcp,6145886265751,6332
121,tcp,6145891163684,1617
122,tcp,6145917369168,1289
123,tcp,6145950795876,1715
124,tcp,6145984107543,1809
125,tcp,6146017557351,1460
126,tcp,6146050868284,1848
127,tcp,6146084214326,1745
128,tcp,6146117524801,1620
129,tcp,6146150983501,1862
130,tcp,6146184324409,1748
131,tcp,6146217684109,1886
132,tcp,6146262554301,5243
133,tcp,6146284449526,1877
134,tcp,6146317776867,2217
135,tcp,6146351179284,1871
136,tcp,6146384581976,1892
137,tcp,6146417944701,1763
138,tcp,6146451118959,2151
139,tcp,6146484498551,1980
140,tcp,6146517952759,2131
141,tcp,6146551265525,2095
142,tcp,6146584604509,2206
143,tcp,6146618025259,2536
144,tcp,6146662813775,4994
145,tcp,6146684746309,1512
146,tcp,6146718170359,2530
147,tcp,6146762897367,3125
148,tcp,6146784808817,1283
149,tcp,6146818255875,2348
150,tcp,6146851680109,775
151,tcp,6146884970325,2217
152,tcp,6146918324892,2574
153,tcp,6146951619325,1384
154,tcp,6146985091683,1860
155,tcp,6147018405642,1568
156,tcp,6147087465108,5943
157,tcp,6147089203292,2089
158,tcp,6147118544875,998
159,tcp,6147151961867,2037
160,tcp,6147185276558,836
161,tcp,6147218662567,1636
162,tcp,6147251984775,1633
163,tcp,6147285279667,1218
164,tcp,6147318721775,2362
165,tcp,6147352127125,1164
166,tcp,6147385416883,2211
167,tcp,6147418885758,2177
168,tcp,6147487821016,6107
169,tcp,6147490887633,876
170,tcp,6147518912975,1740
171,tcp,6147552274325,2226
172,tcp,6147585717075,988
173,tcp,6147619067241,2101
174,tcp,6147652413650,1155
175,tcp,6147685772891,2044
176,tcp,6147719131216,2435
177,tcp,6147752506500,921
178,tcp,6147785810466,2258
179,tcp,6147819238825,1202
180,tcp,6147864075558,5523
181,tcp,6147886135874,2364
182,tcp,6147919314991,962
183,tcp,6147952652233,2550
184,tcp,6147986137791,1210
185,tcp,6148019467883,2125
186,tcp,6148052719874,2344
187,tcp,6148086144749,1567
188,tcp,6148119571366,2556
189,tcp,6148152898616,1382
190,tcp,6148186324316,1578
191,tcp,6148219615724,2212
192,tcp,6148288717724,6604
193,tcp,6148295771566,1952
194,tcp,6148319784016,1326
195,tcp,6148353183316,2091
196,tcp,6148386513407,1800
197,tcp,6148419866049,1316
198,tcp,6148453271216,2746
199,tcp,6148486554832,1409
200,tcp,6148520088607,1679
201,tcp,6148553258099,2564
202,tcp,6148586619082,964
203,tcp,6148619962007,2417
204,tcp,6148689069507,7852
205,tcp,6148706721024,1252
206,tcp,6148720190432,1935
207,tcp,6148753502832,1274
208,tcp,6148786907540,2135
209,tcp,6148820306382,1467
210,tcp,6148853576524,1648
211,tcp,6148886974907,1772
212,tcp,6148920358165,972
213,tcp,6148953750590,1906
214,tcp,6148987052632,1622
215,tcp,6149020486307,1418
216,tcp,6149089507457,8284
217,tcp,6149110585932,1386
218,tcp,6149122272240,1493
219,tcp,6149153956457,1474
220,tcp,6149187345765,1409
221,tcp,6149220712065,1610
222,tcp,6149254092023,1081
223,tcp,6149287478490,1387
224,tcp,6149320895115,2051
225,tcp,6149354121990,1047
226,tcp,6149387511390,1525
227,tcp,6149420926182,1559
228,tcp,6149514105807,8989
229,tcp,6149517170682,1365
230,tcp,6149528705740,1059
231,tcp,6149554390923,1227
232,tcp,6149587725965,1109
233,tcp,6149621222157,1317
234,tcp,6149654455815,1599
235,tcp,6149687956590,1221
236,tcp,6149721187773,1133
237,tcp,6149754481748,1067
238,tcp,6149787808815,1279
239,tcp,6149821281540,1448
240,tcp,6149890284540,8537
241,tcp,6149913318906,965
242,tcp,6149921630690,1114
243,tcp,6149954716673,983
244,tcp,6149988062256,1677
245,tcp,6150021426631,947
246,tcp,6150054863331,1187
247,tcp,6150088207448,981
248,tcp,6150121452198,1711
249,tcp,6150154836281,1015
250,tcp,6150188269039,1008
251,tcp,6150221652023,1435
252,tcp,6150314866848,9273
253,tcp,6150320165548,1468
254,tcp,6150333007864,927
255,tcp,6150355147381,774
256,tcp,6150388497914,1004
257,tcp,6150421909956,1129
258,tcp,6150455237481,1117
259,tcp,6150488567298,1003
260,tcp,6150521934789,786
261,tcp,6150555404306,1617
262,tcp,6150588675639,890
263,tcp,6150621974839,1256
264,tcp,6150715326339,9196
265,tcp,6150719958256,1215
266,tcp,6150730295689,923
267,tcp,6150755493114,454
268,tcp,6150788926697,1097
269,tcp,6150822340481,1017
270,tcp,6150855566714,829
271,tcp,6150888981231,1192
272,tcp,6150922366781,882
273,tcp,6150955704939,1509
274,tcp,6150989102039,1067
275,tcp,6151022446980,782
276,tcp,6151115912972,9347
277,tcp,6151121729589,1276
278,tcp,6151132516372,1606
279,tcp,6151155882847,1121
280,tcp,6151189237414,480
281,tcp,6151222620030,733
282,tcp,6151255986422,818
283,tcp,6151289329989,955
284,tcp,6151322790522,1364
285,tcp,6151356085505,1139
286,tcp,6151389492964,1018
287,tcp,6151422815905,780
288,tcp,6151516142747,9431
289,tcp,6151522643563,1081
290,tcp,6151531878063,1228
291,tcp,6151556318322,827
292,tcp,6151589693422,689
293,tcp,6151623011688,1603
294,tcp,6151656358188,936
295,tcp,6151689734663,996
296,tcp,6151723144963,1643
297,tcp,6151756537022,803
298,tcp,6151789843005,1038
299,tcp,6151823212422,1440
300,tcp,6151892263913,8534
301,tcp,6151915297546,879
302,tcp,6151923406746,841
303,tcp,6151956650763,1269
304,tcp,6151990011746,1408
305,tcp,6152023395738,674
306,tcp,6152056797421,1474
307,tcp,6152090091671,483
308,tcp,6152123490238,1751
309,tcp,6152156944446,1171
310,tcp,6152190333021,1079
311,tcp,6152223579605,904
312,tcp,6152316870513,8875
313,tcp,6152318895705,1143
314,tcp,6152328742446,1228
315,tcp,6152357101546,814
316,tcp,6152390504513,1232
317,tcp,6152423891988,1004
318,tcp,6152457176613,1614
319,tcp,6152490550888,1511
320,tcp,6152524048913,877
321,tcp,6152557300263,1685
322,tcp,6152590623663,1046
323,tcp,6152624070996,1473
324,tcp,6152717357779,9484
325,tcp,6152724284938,765
326,tcp,6152731014738,1228
327,tcp,6152757495313,909
328,tcp,6152790905154,1320
329,tcp,6152824227637,1546
330,tcp,6152857573037,1155
331,tcp,6152891000846,1169
332,tcp,6152924331671,1095
333,tcp,6152957627662,1597
334,tcp,6152991035762,1767
335,tcp,6153024455779,1427
336,tcp,6153093393237,8548
337,tcp,6153116565379,1102
338,tcp,6153125969004,1479
339,tcp,6153157930512,1831
340,tcp,6153191234571,1240
341,tcp,6153224573187,1399
342,tcp,6153258037937,1278
343,tcp,6153291280579,1607
344,tcp,6153324636154,1793
345,tcp,6153358085412,1367
346,tcp,6153391436495,1802
347,tcp,6153424881904,1073
348,tcp,6153493837145,7816
349,tcp,6153511178645,1730
350,tcp,6153526142312,1480
351,tcp,6153558293204,1554
352,tcp,6153591688654,1570
353,tcp,6153625029745,2064
354,tcp,6153658355529,1882
355,tcp,6153691657204,1061
356,tcp,6153725080703,1790
357,tcp,6153758530878,1680
358,tcp,6153791774987,1270
359,tcp,6153825131478,1694
360,tcp,6153894210103,7166
361,tcp,6153905825187,1211
362,tcp,6153925245595,1014
363,tcp,6153958623995,1231
364,tcp,6153992055470,1090
365,tcp,6154025366220,729
366,tcp,6154058719595,1536
367,tcp,6154092135945,1102
368,tcp,6154125558345,1004
369,tcp,6154158866253,1333
370,tcp,6154192262436,907
371,tcp,6154225634511,1418
372,tcp,6154294582420,7892
373,tcp,6154312489228,1314
374,tcp,6154325666770,1152
375,tcp,6154359045261,613
376,tcp,6154392517803,815
377,tcp,6154425809670,957
378,tcp,6154459117211,1321
379,tcp,6154492543920,1401
380,tcp,6154525896195,983
381,tcp,6154559309153,1027
382,tcp,6154592576911,1239
383,tcp,6154625986386,1464
384,tcp,6154695067028,7745
385,tcp,6154711885019,890
386,tcp,6154726115811,1150
387,tcp,6154759550953,878
388,tcp,6154792767836,963
389,tcp,6154826141194,1323
390,tcp,6154859563411,940
391,tcp,6154892913303,1184
392,tcp,6154926322319,1158
393,tcp,6154959654061,1241
394,tcp,6154993165836,911
395,tcp,6155026363469,942
396,tcp,6155095426236,7777
397,tcp,6155112406477,756
398,tcp,6155126504902,1222
399,tcp,6155159847919,1092
400,tcp,6155193233836,774
401,tcp,6155226617002,1079
402,tcp,6155259966986,788
403,tcp,6155293301477,1025
404,tcp,6155326667502,1045
405,tcp,6155360151227,1111
406,tcp,6155393397994,1021
407,tcp,6155426739361,649
408,tcp,6155495835586,7804
409,tcp,6155513092110,1114
410,tcp,6155526911685,999
411,tcp,6155560279360,1247
412,tcp,6155593669402,1055
413,tcp,6155627018285,787
414,tcp,6155660353144,1003
415,tcp,6155693714219,1039
416,tcp,6155727124794,1015
417,tcp,6155760487794,1001
418,tcp,6155793788185,994
419,tcp,6155827135969,1340
420,tcp,6155896186452,7121
421,tcp,6155907420935,1322
422,tcp,6155927297844,1113
423,tcp,6155960657543,1674
424,tcp,6155993997718,1281
425,tcp,6156027374010,883
426,tcp,6156060785593,1373
427,tcp,6156094190393,1386
428,tcp,6156127474010,1394
429,tcp,6156160864785,1381
430,tcp,6156194277010,859
431,tcp,6156227577952,1569
432,tcp,6156296592502,6850
433,tcp,6156305667135,1402
434,tcp,6156327700043,1520
435,tcp,6156361075418,1457
436,tcp,6156394405510,1788
437,tcp,6156427774010,862
438,tcp,6156461209335,2097
439,tcp,6156494497260,1326
440,tcp,6156527834593,1660
441,tcp,6156561291735,1712
442,tcp,6156594606885,1263
443,tcp,6156627944035,1255
444,tcp,6156697042276,7832
445,tcp,6156714455001,940
446,tcp,6156728114893,1186
447,tcp,6156761469460,1337
448,tcp,6156794766185,1793
449,tcp,6156828199310,1733
450,tcp,6156861549843,1590
451,tcp,6156894934568,1628
452,tcp,6156928250176,1535
453,tcp,6156961704293,1534
454,tcp,6156995150343,1896
455,tcp,6157028373643,1258
456,tcp,6157097419451,8363
457,tcp,6157119141426,1175
458,tcp,6157129094226,1556
459,tcp,6157161862859,1535
460,tcp,6157195268576,1059
461,tcp,6157228583818,1554
462,tcp,6157261917668,1226
463,tcp,6157295297076,1827
464,tcp,6157328748992,1782
465,tcp,6157362051309,928
466,tcp,6157395409817,1757
467,tcp,6157428859534,954
468,tcp,6157497830359,8439
469,tcp,6157520104442,1358
470,tcp,6157531559659,1130
471,tcp,6157562370017,1071
472,tcp,6157595630992,1250
473,tcp,6157628978867,1190
474,tcp,6157662426659,902
475,tcp,6157695739242,1102
476,tcp,6157729060901,1276
477,tcp,6157762408500,1138
478,tcp,6157795848225,1301
479,tcp,6157829176209,1450
480,tcp,6157898221834,7660
481,tcp,6157914236550,745
482,tcp,6157929304900,1053
483,tcp,6157962634259,1286
484,tcp,6157996051984,1271
485,tcp,6158029373550,1037
486,tcp,6158062757817,1048
487,tcp,6158096171692,563
488,tcp,6158129504809,1434
489,tcp,6158162838567,1697
490,tcp,6158196292134,809
491,tcp,6158229580883,861
492,tcp,6158298623850,7786
493,tcp,6158315662208,899
494,tcp,6158329720392,1103
495,tcp,6158363088342,621
496,tcp,6158396444742,981
497,tcp,6158429930300,905
498,tcp,6158463133617,962
499,tcp,6158496498083,1492
500,tcp,6158529907558,716
501,tcp,6158563249200,947
502,tcp,6158596583692,1334
503,tcp,6158629992433,1035
504,tcp,6158699090033,7743
505,tcp,6158715802058,547
506,tcp,6158730051091,1323
507,tcp,6158763464600,816
508,tcp,6158796844283,999
509,tcp,6158830230750,1066
510,tcp,6158863557541,779
511,tcp,6158896893958,1119
512,tcp,6158930450008,1049
513,tcp,6158963638200,1340
514,tcp,6158997023016,855
515,tcp,6159030402516,712
516,tcp,6159099572991,7276
517,tcp,6159112523749,1275
518,tcp,6159130536341,1083
519,tcp,6159163907866,709
520,tcp,6159197211374,1349
521,tcp,6159230611866,1235
522,tcp,6159263984033,778
523,tcp,6159297341808,1030
524,tcp,6159330680791,1179
525,tcp,6159364116574,885
526,tcp,6159397417424,1039
527,tcp,6159430841749,1125
528,tcp,6159499843191,7730
529,tcp,6159516463733,1217
530,tcp,6159530909849,743
531,tcp,6159564299157,992
532,tcp,6159597614124,750
533,tcp,6159630972541,1563
534,tcp,6159664393749,1037
535,tcp,6159697785257,538
536,tcp,6159731108382,1343
537,tcp,6159764482932,743
538,tcp,6159797870591,1488
539,tcp,6159831194907,1028
540,tcp,6159900289666,7748
541,tcp,6159917018832,894
542,tcp,6159931280149,871
543,tcp,6159964602266,840
544,tcp,6159998038416,1230
545,tcp,6160031403707,576
546,tcp,6160064818865,986
547,tcp,6160098235032,399
548,tcp,6160131621682,1470
549,tcp,6160164873765,1070
550,tcp,6160198258857,1145
551,tcp,6160231663107,1168
552,tcp,6160300667024,6811
553,tcp,6160309356840,1025
554,tcp,6160331678590,1120
555,tcp,6160365046815,731
556,tcp,6160398424482,1727
557,tcp,6160431838815,1089
558,tcp,6160465144065,2263
559,tcp,6160498679857,1258
560,tcp,6160531913332,1212
561,tcp,6160565334815,2436
562,tcp,6160598708907,1817
563,tcp,6160632055590,2091
564,tcp,6160701068398,8078
565,tcp,6160720403007,1453
566,tcp,6160733153198,1892
567,tcp,6160765518407,1765
568,tcp,6160798875723,2836
569,tcp,6160832266498,2544
570,tcp,6160865608415,2106
571,tcp,6160898906515,2530
572,tcp,6160932263556,2089
573,tcp,6160977055373,2908
574,tcp,6160999066465,2363
575,tcp,6161032373365,2012
576,tcp,6161125615506,9457
577,tcp,6161132387748,1319
578,tcp,6161143505540,2004
579,tcp,6161165934723,2439
580,tcp,6161199221548,1774
581,tcp,6161232604165,2764
582,tcp,6161266039673,1332
583,tcp,6161299369215,2771
584,tcp,6161332674648,2056
585,tcp,6161366339231,2652
586,tcp,6161399613406,2172
587,tcp,6161432922781,1823
588,tcp,6161526159331,8835
589,tcp,6161527895223,1902
590,tcp,6161544249748,922
591,tcp,6161566374323,1668
592,tcp,6161599753089,1491
593,tcp,6161633119664,2394
594,tcp,6161666430964,2421
595,tcp,6161699824031,1040
596,tcp,6161733234606,2378
597,tcp,6161766591464,1752
598,tcp,6161799817606,2185
599,tcp,6161833226256,1824
600,tcp,6161902317806,7332
601,tcp,6161915718922,1766
602,tcp,6161933280056,1907
603,tcp,6161966765431,2442
604,tcp,6162000148506,1460
605,tcp,6162033604456,1868
606,tcp,6162066719681,2350
607,tcp,6162100133006,2120
608,tcp,6162133575481,1758
609,tcp,6162166833156,1911
610,tcp,6162200213756,1466
611,tcp,6162233644772,2384
612,tcp,6162302610647,6418
613,tcp,6162308237880,1753
614,tcp,6162333734047,1689
615,tcp,6162367073122,1356
616,tcp,6162400429614,1447
617,tcp,6162433823964,1866
618,tcp,6162467235822,1708
619,tcp,6162500557022,1904
620,tcp,6162533933772,1824
621,tcp,6162567283389,1881
622,tcp,6162600711839,1991
623,tcp,6162634048164,1861
624,tcp,6162703096722,6834
625,tcp,6162711961255,1133
626,tcp,6162734164205,1549
627,tcp,6162767565522,1594
628,tcp,6162800820905,1237
629,tcp,6162834353397,1529
630,tcp,6162867707505,1728
631,tcp,6162900954180,1445
632,tcp,6162934322772,1028
633,tcp,6162967666797,1828
634,tcp,6163001036397,1337
