frame_index,transport_protocol,receive_time_ns,payload_bytes
0,tcp,39773449782,616
1,udp,39806774386,175
2,udp,39839926891,95
3,udp,39873358795,70
4,udp,39906683500,123
5,udp,39939971904,103
6,udp,39973479909,132
7,udp,40006728613,61
8,udp,40040101518,56
9,udp,40073441822,54
10,udp,40106908227,87
11,udp,40140197731,64
12,tcp,40173597036,599
13,udp,40206899040,105
14,udp,40240429945,68
15,udp,40273659749,35
16,udp,40307144454,88
17,udp,40340432658,142
18,udp,40373870463,29
19,udp,40407156567,38
20,udp,40440550872,98
21,udp,40473938176,26
22,udp,40507254981,47
23,udp,40540517085,43
24,tcp,40574135990,459
25,udp,40607444594,133
26,udp,40640665799,218
27,udp,40674046803,112
28,udp,40707440408,49
29,udp,40740873312,52
30,udp,40774180917,52
31,udp,40807471821,220
32,udp,40840877226,499
33,udp,40874244930,457
34,udp,40907621335,398
35,udp,40941005940,286
36,tcp,40974527444,2856
37,udp,41007747849,1205
38,udp,41041135053,788
39,udp,41074516158,1413
40,udp,41107842162,888
41,udp,41141488867,2018
42,udp,41174528971,2079
43,udp,41207847976,1638
44,udp,41241277580,2116
45,udp,41274693485,1642
46,udp,41308037389,2168
47,udp,41341391794,1700
48,tcp,41386158600,5770
49,udp,41422491305,1524
50,udp,41441517907,1577
51,udp,41474822912,1848
52,udp,41508175216,1716
53,udp,41541458921,2360
54,udp,41575084625,2301
55,udp,41608503930,1683
56,udp,41641682534,2458
57,udp,41674911839,1676
58,udp,41708443043,2007
59,udp,41741672748,2245
120,tcp,43812924628,6332
121,udp,43829840430,1617
122,udp,43843811032,1289
123,udp,43877118437,1715
124,udp,43910569141,1809
125,udp,43943889346,1460
126,udp,43977381450,1848
127,udp,44010687655,1745
128,udp,44044116359,1620
129,udp,44077447964,1862
130,udp,44110788768,1748
131,udp,44144123273,1886
132,tcp,44188970279,5243
133,udp,44221031583,1877
134,udp,44244350287,2217
135,udp,44277656091,1871
136,udp,44310991296,1892
137,udp,44344420700,1763
138,udp,44377747305,2151
139,udp,44411062409,1980
140,udp,44444443714,2131
141,udp,44477867018,2095
142,udp,44511307023,2206
143,udp,44544490027,2536
144,tcp,44589499733,4994
145,udp,44619643737,1512
146,udp,44644728941,2530
147,udp,44689408947,3125
148,udp,44711382350,1283
149,udp,44744659054,2348
150,udp,44778186659,775
151,udp,44811611563,2217
152,udp,44844996468,2574
153,udp,44878245372,1384
154,udp,44911731377,1860
155,udp,44944907981,1568
156,tcp,45014174691,5943
157,udp,45028350393,2089
158,udp,45045051995,998
159,udp,45078607999,2037
160,udp,45111819704,836
161,udp,45145216008,1636
162,udp,45178695613,1633
163,udp,45211991218,1218
164,udp,45245484222,2362
165,udp,45278765627,1164
166,udp,45312133431,2211
167,udp,45345445936,2177
168,tcp,45414469845,6107
169,udp,45417543645,876
170,udp,45445377749,1740
171,udp,45478908354,2226
172,udp,45512203058,988
173,udp,45545566663,2101
174,udp,45578882167,1155
175,udp,45612399572,2044
176,udp,45645629976,2435
177,udp,45679051181,921
178,udp,45712537085,2258
179,udp,45745677390,1202
180,tcp,45790565796,5523
181,udp,45824886100,2364
182,udp,45845816003,962
183,udp,45879132808,2550
184,udp,45912841312,1210
185,udp,45946005117,2125
186,udp,45979359521,2344
187,udp,46012688826,1567
188,udp,46045997130,2556
189,udp,46079290135,1382
190,udp,46113012039,1578
191,udp,46146154044,2212
192,tcp,46215288453,6604
193,udp,46234587056,1952
194,udp,46246351058,1326
195,udp,46279638362,2091
196,udp,46313113467,1800
197,udp,46346451771,1316
198,udp,46379879276,2746
199,udp,46413033180,1409
200,udp,46446629885,1679
201,udp,46479809589,2564
202,udp,46513391594,964
203,udp,46546511898,2417
612,tcp,60229408168,6418
613,udp,60247157863,1753
614,udp,60261814460,1689
615,udp,60293607352,1356
616,udp,60327043444,1447
617,udp,60360510237,1866
618,udp,60393669629,1708
619,udp,60427218321,1904
620,udp,60460464113,1824
621,udp,60493920705,1881
622,udp,60527205697,1991
623,udp,60560704189,1861
708,tcp,63432577112,6169
709,udp,63448246509,1584
710,udp,63463358005,1522
711,udp,63496807297,2395
712,udp,63530160989,1283
713,udp,63563684781,1846
714,udp,63596930274,2078
715,udp,63630330366,1720
716,udp,63663614058,2680
717,udp,63697294350,2659
718,udp,63730463442,2176
719,udp,63763813934,2273
720,tcp,63832877218,5908
721,udp,63846569015,1778
722,udp,63863888911,1383
723,udp,63897311303,2305
724,udp,63930694595,2330
725,udp,63964149287,2012
726,udp,63997270079,1983
