frame_index,transport_protocol,receive_time_ns,payload_bytes
0,tcp,51162843540,616
1,tcp,51229412032,175
2,tcp,51229427932,95
3,tcp,51296144524,70
4,tcp,51296162824,123
5,tcp,51362776517,103
6,tcp,51362791917,132
7,tcp,51429616409,61
8,tcp,51429631609,56
9,tcp,51496266902,54
10,tcp,51496284002,87
11,tcp,51562943694,64
12,tcp,51562959994,599
13,tcp,51629738786,105
14,tcp,51629753986,68
15,tcp,51696468179,35
16,tcp,51696483479,88
17,tcp,51763156771,142
18,tcp,51763171671,29
19,tcp,51829915463,38
20,tcp,51829931863,98
21,tcp,51896572956,26
22,tcp,51896588356,47
23,tcp,51963356648,43
24,tcp,51963371848,459
25,tcp,52030111040,133
26,tcp,52030128340,218
27,tcp,52096832433,112
28,tcp,52096847533,49
29,tcp,52163547625,52
30,tcp,52163562325,52
31,tcp,52230269217,220
32,tcp,52230284217,499
33,tcp,52297051210,457
34,tcp,52297063910,398
35,tcp,52363752102,286
36,tcp,52363767302,2856
37,tcp,52430453794,1205
38,tcp,52430464294,788
39,tcp,52497210787,1413
40,tcp,52497221787,888
41,tcp,52563930479,2018
42,tcp,52572904778,2079
43,tcp,52630667071,1638
44,tcp,52637040671,2116
45,tcp,52697489764,1642
46,tcp,52701468163,2168
47,tcp,52764147356,1700
48,tcp,52816499950,5770
49,tcp,52864734845,1524
50,tcp,52891354742,1577
51,tcp,52918781738,1848
52,tcp,52950590635,1716
53,tcp,52980328931,2360
54,tcp,53020353327,2301
55,tcp,53059390722,1683
56,tcp,53088641019,2458
57,tcp,53130133614,1676
58,tcp,53159144611,2007
59,tcp,53193515507,2245
60,tcp,53328581091,7249
61,tcp,53354181888,1481
62,tcp,53380137685,1629
63,tcp,53408355682,1792
64,tcp,53439281179,2160
65,tcp,53476139974,967
66,tcp,53492737673,2346
67,tcp,53532486568,1927
68,tcp,53565800064,1389
69,tcp,53588956362,2586
70,tcp,53632639057,1248
71,tcp,53653811054,1293
72,tcp,53821110735,9287
73,tcp,53831696134,1140
74,tcp,53851180831,1597
