frame_index,transport_protocol,receive_time_ns,payload_bytes
0,tcp,3251659201704,616
1,tcp,3251724193674,175
2,tcp,3251724208794,95
3,tcp,3251790869634,70
4,tcp,3251790884214,123
5,tcp,3251857604364,103
6,tcp,3251857616964,132
7,tcp,3251924388414,61
8,tcp,3251924401464,56
9,tcp,3251991053124,54
10,tcp,3251991065814,87
11,tcp,3252057794784,64
12,tcp,3252057807474,599
13,tcp,3252124476684,105
14,tcp,3252124485594,68
15,tcp,3252191299794,35
16,tcp,3252191312844,88
17,tcp,3252258124704,142
18,tcp,3252258134514,29
19,tcp,3252324857274,38
20,tcp,3252324872484,98
21,tcp,3252391444494,26
22,tcp,3252391457454,47
23,tcp,3252458192364,43
24,tcp,3252458202624,459
25,tcp,3252524901714,133
26,tcp,3252524912244,218
27,tcp,3252591660744,112
28,tcp,3252591669474,49
29,tcp,3252658342464,52
30,tcp,3252658351284,52
31,tcp,3252725160534,220
32,tcp,3252725172234,499
33,tcp,3252791922894,457
34,tcp,3252791935854,398
35,tcp,3252858555744,286
36,tcp,3252858565194,2856
37,tcp,3252925304784,1205
38,tcp,3252925318284,788
39,tcp,3252992094504,1413
40,tcp,3252992105934,888
41,tcp,3253058855514,2018
42,tcp,3253067843544,2079
43,tcp,3253125613734,1638
44,tcp,3253131874314,2116
45,tcp,3253192342434,1642
46,tcp,3253515143094,2168
47,tcp,3253515174324,1700
48,tcp,3253515197724,5770
49,tcp,3253515203484,1524
50,tcp,3253515205914,1577
51,tcp,3253515208704,1848
52,tcp,3253515210774,1716
53,tcp,3253515213654,2360
54,tcp,3253552081614,2301
55,tcp,3253591052964,1683
56,tcp,3253620278934,2458
57,tcp,3253661807724,1676
58,tcp,3253690863234,2007
59,tcp,3253725201024,2245
60,tcp,3253860298944,7249
61,tcp,3253886025804,1481
62,tcp,3253911791814,1629
63,tcp,3253940149644,1792
64,tcp,3253995219564,2160
65,tcp,3254007824784,967
66,tcp,3254024447244,2346
67,tcp,3254064224184,1927
68,tcp,3254097265074,1389
69,tcp,3254120716554,2586
70,tcp,3254164383294,1248
71,tcp,3254185511334,1293
72,tcp,3254352737094,9287
73,tcp,3254363463744,1140
74,tcp,3254382917874,1597
75,tcp,3254410685304,867
76,tcp,3254425765344,1272
77,tcp,3254447262564,892
78,tcp,3254462775144,1611
79,tcp,3254490780174,1326
80,tcp,3254513116554,660
81,tcp,3254524886034,1335
82,tcp,3254547402414,817
83,tcp,3254561714664,1194
84,tcp,3254678887734,8549
85,tcp,3254725248984,1242
86,tcp,3254746272624,1145
87,tcp,3255177315474,865
88,tcp,3255192422514,1225
89,tcp,3255192436734,1574
90,tcp,3255192439434,988
91,tcp,3255192441774,1445
92,tcp,3255192444204,1238
93,tcp,3255192448524,1581
94,tcp,3255192450864,1506
95,tcp,3255192453204,597
96,tcp,3255192456804,8230
97,tcp,3255192459144,936
98,tcp,3255192461574,1270
99,tcp,3255192463824,1473
100,tcp,3255192465804,1097
101,tcp,3255587078814,1125
102,tcp,3255587091594,1375
103,tcp,3255587094294,1517
104,tcp,3255587096634,1909
105,tcp,3255587099154,1191
106,tcp,3255587101584,1991
107,tcp,3255587107704,1252
108,tcp,3255587112294,7301
109,tcp,3255587115894,1474
110,tcp,3255587118234,1278
111,tcp,3255587120934,1367
112,tcp,3255606257274,1679
113,tcp,3255635331594,1918
114,tcp,3255659551404,2091
115,tcp,3255678662184,1381
116,tcp,3255727115124,1597
117,tcp,3255751352754,1948
118,tcp,3255775580844,1591
119,tcp,3255799812354,2074
120,tcp,3255920865504,6332
121,tcp,3255945116904,1617
122,tcp,3255969356874,1289
123,tcp,3255969368214,1715
124,tcp,3256017807024,1809
125,tcp,3256042013064,1460
126,tcp,3256090523064,1848
127,tcp,3256114845564,1745
128,tcp,3256502343174,1620
129,tcp,3256502361084,1862
130,tcp,3256502363784,1748
131,tcp,3256502365584,1886
132,tcp,3256502441274,5243
133,tcp,3256502452524,1877
134,tcp,3256502454954,2217
135,tcp,3256502458014,1871
136,tcp,3256502459994,1892
137,tcp,3256502462784,1763
138,tcp,3256526581974,2151
139,tcp,3256550756064,1980
140,tcp,3256575011154,2131
141,tcp,3256623489294,2095
142,tcp,3256647647094,2206
143,tcp,3256696126134,2536
144,tcp,3256799455854,4994
145,tcp,3256799472324,1512
146,tcp,3256847872884,2530
147,tcp,3256896298464,3125
148,tcp,3256896309354,1283
149,tcp,3256963241274,2348
150,tcp,3256963256844,775
151,tcp,3257011688634,2217
152,tcp,3257035879554,2574
153,tcp,3257084307744,1384
154,tcp,3257084317914,1860
155,tcp,3257132797044,1568
156,tcp,3257205465744,5943
157,tcp,3257278116804,2089
158,tcp,3257278131474,998
159,tcp,3257326542564,2037
160,tcp,3257350854174,836
161,tcp,3257350866864,1636
162,tcp,3257399191284,1633
163,tcp,3257399200914,1218
164,tcp,3257447663214,2362
165,tcp,3257447674284,1164
166,tcp,3257520398694,2211
167,tcp,3257520409224,2177
168,tcp,3257641452294,6107
169,tcp,3257665667424,876
170,tcp,3257665677144,1740
171,tcp,3257714327364,2226
172,tcp,3257714339604,988
173,tcp,3257762650884,2101
174,tcp,3257811077544,1155
175,tcp,3257835292584,2044
176,tcp,3257883708624,2435
177,tcp,3257883719784,921
178,tcp,3257908162434,2258
179,tcp,3257956429074,1202
180,tcp,3258029066004,5523
181,tcp,3258077534244,2364
182,tcp,3258077548194,962
183,tcp,3258150220584,2550
184,tcp,3258150236244,1210
185,tcp,3258198640134,2125
186,tcp,3258222866244,2344
187,tcp,3258271343394,1567
188,tcp,3258271358334,2556
189,tcp,3258319746294,1382
190,tcp,3258368178534,1578
191,tcp,3258368188794,2212
192,tcp,3258489335634,6604
193,tcp,3258537729444,1952
194,tcp,3258561987324,1326
195,tcp,3258561997764,2091
196,tcp,3258610447824,1800
197,tcp,3258658833174,1316
198,tcp,3258658843164,2746
199,tcp,3258707315454,1409
200,tcp,3258755741034,1679
201,tcp,3258755752194,2564
202,tcp,3258804236094,964
203,tcp,3258852644034,2417
204,tcp,3258973761624,7852
205,tcp,3258973771614,1252
206,tcp,3259022219154,1935
207,tcp,3259022229414,1274
208,tcp,3259070666874,2135
209,tcp,3259119173004,1467
210,tcp,3259119186504,1648
211,tcp,3259167602184,1772
212,tcp,3259167613164,972
213,tcp,3259216140624,1906
214,tcp,3259216156644,1622
215,tcp,3259264485744,1418
216,tcp,3259385615574,8284
217,tcp,3259434026124,1386
218,tcp,3259458344034,1493
219,tcp,3259458354564,1474
220,tcp,3259506724614,1409
221,tcp,3259506738384,1610
222,tcp,3259555160364,1081
223,tcp,3259555169814,1387
224,tcp,3259603603944,2051
225,tcp,3259603614294,1047
226,tcp,3260039691654,1525
227,tcp,3260039702094,1559
228,tcp,3260039704614,8989
229,tcp,3260039705874,1365
230,tcp,3260039706954,1059
231,tcp,3260039708034,1227
232,tcp,3260039709024,1109
233,tcp,3260039711364,1317
234,tcp,3260039712444,1599
235,tcp,3260039717394,1221
236,tcp,3260039719014,1133
237,tcp,3260040133734,1067
238,tcp,3260063908404,1279
239,tcp,3260088153954,1448
240,tcp,3260209245984,8537
241,tcp,3260209260564,965
242,tcp,3260257692984,1114
243,tcp,3260288362824,983
244,tcp,3260288374974,1677
245,tcp,3260330338014,947
246,tcp,3260330371044,1187
247,tcp,3260330375094,981
248,tcp,3260378762334,1711
249,tcp,3260378771874,1015
250,tcp,3260427237864,1008
251,tcp,3260427248664,1435
252,tcp,3260596791294,9273
253,tcp,3260596802904,1468
254,tcp,3260645203914,927
255,tcp,3260645213904,774
256,tcp,3260645216154,1004
257,tcp,3260693694204,1129
258,tcp,3260693705094,1117
259,tcp,3260693706804,1003
