frame_index,transport_protocol,receive_time_ns,payload_bytes
0,tcp,10505848792824,616
1,tcp,10505915390304,175
2,tcp,10505915400834,95
3,tcp,10505982127644,70
4,tcp,10505982138444,123
5,tcp,10506048890994,103
6,tcp,10506048901974,132
7,tcp,10506115596204,61
8,tcp,10506282470154,56
9,tcp,10506282481314,54
10,tcp,10506282483024,87
11,tcp,10506282485724,64
12,tcp,10506282488244,599
13,tcp,10506315874014,105
14,tcp,10506349207494,68
15,tcp,10506382516494,35
16,tcp,10506382526664,88
17,tcp,10506449278044,142
18,tcp,10506449287854,29
19,tcp,10506516054804,38
20,tcp,10506516064974,98
21,tcp,10506582854064,26
22,tcp,10506582867474,47
23,tcp,10506649469814,43
24,tcp,10506649481244,459
25,tcp,10506716230914,133
26,tcp,10506716241084,218
27,tcp,10506783055284,112
28,tcp,10506783067164,49
29,tcp,10506849673554,52
30,tcp,10507016511954,52
31,tcp,10507016521584,220
32,tcp,10507016523294,499
33,tcp,10507016526174,457
34,tcp,10507016527344,398
35,tcp,10507049922384,286
36,tcp,10507084279524,2856
37,tcp,10507116730284,1205
38,tcp,10507150185624,788
39,tcp,10507183742664,1413
40,tcp,10507184520984,888
41,tcp,10507250180934,2018
42,tcp,10507417054074,2079
43,tcp,10507417069374,1638
44,tcp,10507417072974,2116
45,tcp,10507492548144,1642
46,tcp,10507592751984,2168
47,tcp,10507592768094,1700
48,tcp,10507692957714,5770
49,tcp,10507793151384,1524
50,tcp,10507793165604,1577
51,tcp,10507794270354,1848
52,tcp,10507894661664,1716
53,tcp,10507894677954,2360
54,tcp,10507895877024,2301
55,tcp,10507994845614,1683
56,tcp,10507995960444,2458
57,tcp,10507997148084,1676
58,tcp,10507997160504,2007
59,tcp,10508095061784,2245
60,tcp,10508140343484,7249
61,tcp,10508326247934,1481
62,tcp,10508340615354,1629
63,tcp,10508340626784,1792
64,tcp,10508340629484,2160
65,tcp,10508340631374,967
66,tcp,10508340632904,2346
67,tcp,10508340634434,1927
68,tcp,10508397926994,1389
69,tcp,10508426325774,2586
70,tcp,10508440738104,1248
71,tcp,10508498105004,1293
72,tcp,10508861499894,9287
73,tcp,10508863858254,1140
74,tcp,10508863868514,1597
75,tcp,10508866267284,867
76,tcp,10508960534184,1272
77,tcp,10508960545074,892
78,tcp,10508960547054,1611
79,tcp,10508961685194,1326
80,tcp,10508961694194,660
81,tcp,10508964246234,1335
82,tcp,10508964286104,817
83,tcp,10508964289794,1194
84,tcp,10509064393104,8549
85,tcp,10509064404714,1242
86,tcp,10509161047704,1145
87,tcp,10509161063724,865
88,tcp,10509161066874,1225
89,tcp,10509162176574,1574
90,tcp,10509163373484,988
91,tcp,10509163388064,1445
92,tcp,10509361428294,1238
93,tcp,10509363734184,1581
94,tcp,10509363742554,1506
95,tcp,10509363743904,597
96,tcp,10509494247144,8230
97,tcp,10509494259834,936
98,tcp,10509494262354,1270
99,tcp,10509494264964,1473
100,tcp,10509494267394,1097
101,tcp,10509566345874,1125
102,tcp,10509594345684,1375
103,tcp,10509694546104,1517
104,tcp,10509694559244,1909
105,tcp,10509695619894,1191
106,tcp,10509794803224,1991
107,tcp,10509836311944,1252
108,tcp,10510060315104,7301
109,tcp,10510060328244,1474
110,tcp,10510060330404,1278
111,tcp,10510095550644,1367
112,tcp,10510160562414,1679
113,tcp,10510160576274,1918
114,tcp,10510195880754,2091
115,tcp,10510195897404,1381
116,tcp,10510260921864,1597
117,tcp,10510262025984,1948
118,tcp,10510296223284,1591
119,tcp,10510296240654,2074
120,tcp,10510397552124,6332
121,tcp,10510461514584,1617
122,tcp,10510461528354,1289
123,tcp,10510462571814,1715
124,tcp,10510552269864,1809
125,tcp,10510552279854,1460
126,tcp,10510740477864,1848
127,tcp,10510740488304,1745
128,tcp,10510740490374,1620
129,tcp,10510870277304,1862
130,tcp,10510940817684,1748
131,tcp,10510940829924,1886
132,tcp,10511040972654,5243
133,tcp,10511141177934,1877
134,tcp,10511141193054,2217
135,tcp,10511220395034,1871
136,tcp,10511241525144,1892
137,tcp,10511341740774,1763
138,tcp,10511341755174,2151
139,tcp,10511442058464,1980
140,tcp,10511442078984,2131
141,tcp,10511488340244,2095
142,tcp,10511542330434,2206
143,tcp,10511588577204,2536
144,tcp,10511688824424,4994
145,tcp,10511689919724,1512
146,tcp,10511692412184,2530
147,tcp,10511789120514,3125
148,tcp,10511789135184,1283
149,tcp,10511790220494,2348
150,tcp,10511790232824,775
151,tcp,10511792686494,2217
152,tcp,10511889373674,2574
153,tcp,10511890475094,1384
154,tcp,10511890487604,1860
155,tcp,10511892957474,1568
156,tcp,10511990741754,5943
157,tcp,10512190070694,2089
158,tcp,10512190083834,998
159,tcp,10512292579794,2037
160,tcp,10512292588974,836
161,tcp,10512292590414,1636
162,tcp,10512292591584,1633
163,tcp,10512292594104,1218
164,tcp,10512292595184,2362
165,tcp,10512292596534,1164
166,tcp,10512292597704,2211
167,tcp,10512522260874,2177
168,tcp,10512693184554,6107
169,tcp,10512776334564,876
170,tcp,10512776350044,1740
171,tcp,10512876491514,2226
172,tcp,10512876506904,988
173,tcp,10512976732344,2101
174,tcp,10512976741794,1155
175,tcp,10513077041304,2044
176,tcp,10513078065864,2435
177,tcp,10513078075854,921
178,tcp,10513228342194,2258
179,tcp,10513229424354,1202
180,tcp,10513428796314,5523
181,tcp,10513428811074,2364
182,tcp,10513428813414,962
183,tcp,10513429874694,2550
184,tcp,10513429883604,1210
185,tcp,10513530031104,2125
186,tcp,10513530044334,2344
187,tcp,10513630261854,1567
188,tcp,10513630272294,2556
189,tcp,10513631351484,1382
190,tcp,10513672320294,1578
191,tcp,10513730547504,2212
192,tcp,10513872817884,6604
193,tcp,10513873923534,1952
194,tcp,10513876315824,1326
195,tcp,10513876324824,2091
196,tcp,10513973077434,1800
197,tcp,10513973090754,1316
198,tcp,10513974114414,2746
199,tcp,10513976578344,1409
200,tcp,10513976587434,1679
201,tcp,10514073293964,2564
202,tcp,10514074396284,964
203,tcp,10514076805674,2417
204,tcp,10514277211194,7852
205,tcp,10514277224064,1252
206,tcp,10514277226224,1935
207,tcp,10514277228744,1274
208,tcp,10514376270054,2135
209,tcp,10514376285894,1467
210,tcp,10514377377684,1648
211,tcp,10514377389744,1772
212,tcp,10514476423944,972
213,tcp,10514476437444,1906
214,tcp,10514477496204,1622
215,tcp,10514478729384,1418
216,tcp,10514580148134,8284
217,tcp,10514678049234,1386
218,tcp,10514678064174,1493
219,tcp,10514679118164,1474
220,tcp,10514680333074,1409
221,tcp,10514680341444,1610
222,tcp,10514682804204,1081
223,tcp,10514910260844,1387
224,tcp,10514982146184,2051
225,tcp,10514982160404,1047
226,tcp,10514982162384,1525
227,tcp,10514982165264,1559
228,tcp,10515082328874,8989
229,tcp,10515082342824,1365
230,tcp,10515110796504,1059
231,tcp,10515110812884,1227
232,tcp,10515110815224,1109
233,tcp,10515182634774,1317
234,tcp,10515182649984,1599
235,tcp,10515342274704,1221
236,tcp,10515342291264,1133
237,tcp,10515342294414,1067
238,tcp,10515342296574,1279
239,tcp,10515342299994,1448
240,tcp,10515512715174,8537
241,tcp,10515512727774,965
242,tcp,10515512730924,1114
243,tcp,10515513808134,983
244,tcp,10515592352844,1677
245,tcp,10515613048614,947
246,tcp,10515613064454,1187
247,tcp,10515613068324,981
248,tcp,10515692558664,1711
249,tcp,10515692572614,1015
250,tcp,10515713314464,1008
251,tcp,10515713330394,1435
252,tcp,10515893055174,9273
253,tcp,10515893065074,1468
254,tcp,10516122217044,927
255,tcp,10516122227124,774
256,tcp,10516264356474,1004
257,tcp,10516264372134,1129
258,tcp,10516265418564,1117
259,tcp,10516265426574,1003
260,tcp,10516265428104,786
261,tcp,10516267855494,1617
262,tcp,10516364580834,890
263,tcp,10516364591904,1256
264,tcp,10516568404644,9196
265,tcp,10516568415354,1215
266,tcp,10516568416884,923
267,tcp,10516568417964,454
268,tcp,10516568419224,1097
269,tcp,10516568421204,1017
270,tcp,10516568422284,829
271,tcp,10516568423544,1192
272,tcp,10516568424984,882
273,tcp,10516668542874,1509
274,tcp,10516668555114,1067
275,tcp,10516668557274,782
276,tcp,10516769944884,9347
277,tcp,10516816288764,1276
278,tcp,10516869073314,1606
279,tcp,10516869083124,1121
280,tcp,10516869084654,480
281,tcp,10516870168794,733
282,tcp,10516870176354,818
283,tcp,10516870178244,955
284,tcp,10516969363104,1364
285,tcp,10516969375884,1139
286,tcp,10516969379124,1018
287,tcp,10516969381014,780
288,tcp,10517070699234,9431
289,tcp,10517073087564,1081
290,tcp,10517073102144,1228
291,tcp,10517073105204,827
292,tcp,10517074322004,689
293,tcp,10517169822264,1603
294,tcp,10517169832884,936
295,tcp,10517169834864,996
296,tcp,10517173275834,1643
297,tcp,10517173286364,803
298,tcp,10517174375904,1038
299,tcp,10517216253894,1440
300,tcp,10517470537104,8534
301,tcp,10517470547454,879
302,tcp,10517471473194,841
303,tcp,10517471480664,1269
304,tcp,10517471482014,1408
305,tcp,10517471483184,674
