frame_index,transport_protocol,receive_time_ns,payload_bytes
0,tcp,4416618925944,616
1,tcp,4416685562214,175
2,tcp,4416685582284,95
3,tcp,4416752350314,70
4,tcp,4416752367504,123
5,tcp,4416819088194,103
6,tcp,4416819105024,132
7,tcp,4416885763704,61
8,tcp,4416885779274,56
9,tcp,4416952434714,54
10,tcp,4416952445784,87
11,tcp,4417019184114,64
12,tcp,4417019195724,599
13,tcp,4417085937924,105
14,tcp,4417085952594,68
15,tcp,4417152643854,35
16,tcp,4417152657624,88
17,tcp,4417219420344,142
18,tcp,4417219433754,29
19,tcp,4417286207544,38
20,tcp,4417286222034,98
21,tcp,4417353080424,26
22,tcp,4417353098424,47
23,tcp,4417419621654,43
24,tcp,4417419636234,459
25,tcp,4417486404624,133
26,tcp,4417486420374,218
27,tcp,4417553141604,112
28,tcp,4417553156454,49
29,tcp,4417619819724,52
30,tcp,4417619829354,52
31,tcp,4417686576144,220
32,tcp,4417686590724,499
33,tcp,4417753308714,457
34,tcp,4417753323834,398
35,tcp,4417820175744,286
36,tcp,4417820193204,2856
37,tcp,4417886777364,1205
38,tcp,4417886813274,788
39,tcp,4417953454584,1413
40,tcp,4417953465114,888
41,tcp,4418020291374,2018
42,tcp,4418021646954,2079
43,tcp,4418086895244,1638
44,tcp,4418087545404,2116
45,tcp,4418153667324,1642
46,tcp,4418154159444,2168
47,tcp,4418220316284,1700
48,tcp,4418229098844,5770
49,tcp,4418287355844,1524
50,tcp,4418287372764,1577
51,tcp,4418353869084,1848
52,tcp,4418354869614,1716
53,tcp,4418420610204,2360
54,tcp,4418423091054,2301
55,tcp,4418487331974,1683
56,tcp,4418487884394,2458
57,tcp,4418554087494,1676
58,tcp,4418554561074,2007
59,tcp,4418620826634,2245
60,tcp,4418639093934,7249
61,tcp,4418687481894,1481
62,tcp,4418687494854,1629
63,tcp,4418754541524,1792
64,tcp,4418755370874,2160
65,tcp,4418821065834,967
66,tcp,4418821080234,2346
67,tcp,4418887772304,1927
68,tcp,4418889051294,1389
69,tcp,4418954511264,2586
70,tcp,4418957538504,1248
71,tcp,4419021271914,1293
72,tcp,4419044852364,9287
73,tcp,4419087935814,1140
74,tcp,4419087948774,1597
75,tcp,4419154749024,867
76,tcp,4419154769004,1272
77,tcp,4419221545134,892
78,tcp,4419221559444,1611
79,tcp,4419288199584,1326
80,tcp,4419288218124,660
81,tcp,4419354919464,1335
82,tcp,4419354932874,817
83,tcp,4419421635024,1194
84,tcp,4419436944114,8549
85,tcp,4419488323314,1242
86,tcp,4419488336994,1145
87,tcp,4419555111414,865
88,tcp,4419555124824,1225
89,tcp,4419621768204,1574
90,tcp,4419622215324,988
91,tcp,4419688636764,1445
92,tcp,4419688649724,1238
93,tcp,4419755208684,1581
94,tcp,4419755559954,1506
95,tcp,4419821944854,597
96,tcp,4419835628364,8230
97,tcp,4419888684804,936
98,tcp,4419888696144,1270
99,tcp,4419955425924,1473
100,tcp,4419955436094,1097
101,tcp,4420022151024,1125
102,tcp,4420022160834,1375
103,tcp,4420088946774,1517
104,tcp,4420089457884,1909
105,tcp,4420155725244,1191
106,tcp,4420155742344,1991
107,tcp,4420222464474,1252
108,tcp,4420237892364,7301
109,tcp,4420289147274,1474
110,tcp,4420289160774,1278
111,tcp,4420355952654,1367
112,tcp,4420355968494,1679
113,tcp,4420422616914,1918
114,tcp,4420423810314,2091
115,tcp,4420489316004,1381
116,tcp,4420489328334,1597
117,tcp,4420556155404,1948
118,tcp,4420557411084,1591
119,tcp,4420623034314,2074
120,tcp,4420640783844,6332
121,tcp,4420689605964,1617
122,tcp,4420690996644,1289
123,tcp,4420756325844,1715
124,tcp,4420756950714,1809
125,tcp,4420823070114,1460
126,tcp,4420823087484,1848
127,tcp,4420889760924,1745
128,tcp,4420890476964,1620
129,tcp,4420956519594,1862
130,tcp,4420957560174,1748
131,tcp,4421023229484,1886
132,tcp,4421032469424,5243
133,tcp,4421089951614,1877
134,tcp,4421091039264,2217
135,tcp,4421156707314,1871
136,tcp,4421157801534,1892
137,tcp,4421223434034,1763
