frame_index,transport_protocol,receive_time_ns,payload_bytes
0,udp,39627659989674,7126
1,udp,39627728572464,2951
2,udp,39627729089064,1324
3,udp,39627776507184,2564
4,udp,39627843081534,3251
5,udp,39627897015564,4139
6,udp,39627940884624,2440
8,udp,39628005511734,3429
9,udp,39628062242874,3993
10,udp,39628103789034,2220
11,udp,39628164881034,4268
12,udp,39628210837104,2857
13,udp,39628306389384,4427
14,udp,39628331186274,2178
16,udp,39628391578974,3478
18,udp,39628426011624,2605
20,udp,39628469056104,2629
21,udp,39628536650604,4246
22,udp,39628582253874,1851
23,udp,39628637455014,4085
24,udp,39628680474564,2343
25,udp,39628767806424,4480
26,udp,39628793365524,1876
28,udp,39628824805494,2183
29,udp,39628909501254,4664
30,udp,39628938087774,2465
31,udp,39629003125374,4255
32,udp,39629048912604,2042
33,udp,39629107075284,4102
34,udp,39629150408214,1533
35,udp,39629200524174,3027
36,udp,39629250797544,3115
37,udp,39629326791204,4622
38,udp,39629354755734,2320
40,udp,39629393166744,1988
42,udp,39629426344074,2131
44,udp,39629461735854,2732
45,udp,39629555280504,4428
46,udp,39629604313944,3389
47,udp,39629660417424,3279
48,udp,39629714775174,3740
49,udp,39629776523184,3217
50,udp,39629829871944,4028
51,udp,39629872063944,2371
52,udp,39629911250394,2436
53,udp,39629975767074,4185
54,udp,39630020471424,2159
55,udp,39630080532924,4290
56,udp,39630126826854,2630
58,udp,39630194499384,3556
59,udp,39630229056324,2778
60,udp,39630299094594,3923
61,udp,39630363779664,3061
62,udp,39630390402384,2639
63,udp,39630458148174,4229
64,udp,39630503468754,1706
65,udp,39630532110624,2612
66,udp,39630599468874,2969
67,udp,39630648851784,3839
68,udp,39630687953454,2293
69,tcp,39630750212394,3236
70,udp,39630781050894,1934
71,udp,39630813403914,2509
72,udp,39630854836404,2052
73,udp,39630889049454,1932
74,udp,39630921268014,2657
76,udp,39630989372094,4184
78,udp,39631058223174,3327
79,udp,39631089090564,2676
80,udp,39631157450964,3355
83,udp,39631188810564,2718
84,udp,39631257893214,4300
85,udp,39631328540064,3857
86,udp,39631367913984,2434
87,udp,39631432450824,3911
88,udp,39631496931054,3408
89,udp,39631553357814,3663
90,udp,39631589651664,2477
91,udp,39631679008794,4600
92,udp,39631730871384,4391
94,udp,39631802990724,3160
95,udp,39631879713024,4442
96,udp,39631928924844,3054
