frame_index,transport_protocol,receive_time_ns,payload_bytes
0,udp,39835123515684,7126
1,udp,39835191983184,2951
2,udp,39835192532094,1324
3,udp,39835238880564,2564
4,udp,39835306624734,3251
6,udp,39835336219614,2440
8,udp,39835400916834,3429
10,udp,39835433401074,2220
12,udp,39835470214674,2857
14,udp,39835518072174,2178
16,udp,39835607680134,3478
18,udp,39835651461624,2605
20,udp,39835718074944,2629
22,udp,39835784850534,1851
24,udp,39835851477804,2343
26,udp,39835918161324,1876
28,udp,39835984709484,2183
30,udp,39836051639154,2465
32,udp,39836118072654,2042
34,udp,39836184723774,1533
35,udp,39836240972334,3027
36,udp,39836291280714,3115
38,udp,39836318807214,2320
40,udp,39836384825814,1988
42,udp,39836451441384,2131
44,udp,39836518032384,2732
46,udp,39836607635034,3389
47,udp,39836663754984,3279
49,udp,39836718033444,3217
51,udp,39836751444684,2371
52,udp,39836789319924,2436
54,udp,39836851377264,2159
56,udp,39836918102184,2630
58,udp,39837007647054,3556
59,udp,39837042229104,2778
61,udp,39837112213824,3061
62,udp,39837138810084,2639
64,udp,39837184732224,1706
65,udp,39837218103054,2612
66,udp,39837284099964,2969
68,udp,39837318145164,2293
69,tcp,39837379031604,3236
70,udp,39837409875954,1934
71,udp,39837442139424,2509
72,udp,39837483656514,2052
73,udp,39837517838244,1932
74,udp,39837550062024,2657
78,udp,39837674303334,3327
79,udp,39837705136164,2676
80,udp,39837773510604,3355
83,udp,39837818031084,2718
86,udp,39837918174894,2434
88,udp,39838007681154,3408
90,udp,39838051396674,2477
94,udp,39838207693284,3160
96,udp,39838274435304,3054
98,udp,39838340924334,3280
100,udp,39838407661134,3531
102,udp,39838451424264,2686
104,udp,39838518077454,2883
106,udp,39838584717504,2403
108,udp,39838674273444,3365
109,udp,39838730017644,3459
111,udp,39838763016594,2494
113,udp,39838818083454,2501
114,udp,39838858104564,2423
116,udp,39838918051764,1856
117,udp,39838974257574,3290
118,udp,39839004586044,2799
120,udp,39839075004474,3241
121,udp,39839128692444,3029
122,udp,39839179031874,3231
124,udp,39839208383034,1964
126,udp,39839251415184,1892
127,udp,39839307640794,3596
128,udp,39839342811714,2148
130,udp,39839384725254,1974
132,udp,39839451417774,2749
133,udp,39839519666484,3609
134,udp,39839555044044,2799
135,udp,39839625461754,3490
136,udp,39839658877134,2672
138,udp,39839702980824,2597
140,udp,39839745914424,2789
142,udp,39839791884624,2370
144,udp,39839851426914,2258
146,udp,39839918114574,1926
147,udp,39839951468574,2476
148,udp,39840015294414,3506
149,udp,39840049013274,2822
151,udp,39840119766954,3359
152,udp,39840151121064,2232
155,udp,39840240981204,3162
156,udp,39840269205474,2820
157,udp,39840339980394,3572
158,udp,39840398982144,3384
159,udp,39840455000664,3343
160,udp,39840486212214,2636
161,udp,39840553895454,3045
162,udp,39840580277334,2747
163,udp,39840649791894,3002
164,udp,39840675473214,2592
166,udp,39840718308894,2519
168,udp,39840784170174,3109
170,udp,39840811590834,2287
171,udp,39840873738714,3136
173,udp,39840901563474,2411
174,udp,39840965761014,3070
175,udp,39841016752674,3584
176,udp,39841051748904,2316
178,udp,39841090140564,1891
