frame_index,transport_protocol,receive_time_ns,payload_bytes
0,tcp,37609425048294,7126
1,udp,37609496093304,2951
2,udp,37609496613144,1324
3,udp,37609542867654,2564
4,udp,37609610567094,3251
5,udp,37609664514984,4139
6,udp,37609708405014,2440
7,udp,37609821452034,6088
8,udp,37609874528094,3429
9,udp,37609931304324,3993
10,udp,37609972825554,2220
11,udp,37610033937354,4268
12,udp,37610079859044,2857
13,udp,37610175418164,4427
14,udp,37610200228554,2178
15,udp,37610333322084,8031
16,udp,37610392623984,3478
17,udp,37610474410224,5088
18,udp,37610509746294,2605
19,udp,37610601262614,5317
20,udp,37610640279324,2629
21,udp,37610708046264,4246
22,udp,37610753535594,1851
23,udp,37610808753744,4085
24,udp,37610851750884,2343
25,udp,37610939060784,4480
26,udp,37610964654984,1876
27,udp,37611044478864,5037
28,udp,37611079061724,2183
29,udp,37611163817064,4664
30,udp,37611192372354,2465
31,udp,37611257447484,4255
32,udp,37611303138504,2042
33,udp,37611361438524,4102
34,udp,37611404683884,1533
35,udp,37611454814694,3027
36,udp,37611505159614,3115
37,udp,37611581049594,4622
38,udp,37611608978304,2320
39,udp,37611695894364,5073
40,udp,37611731048454,1988
41,udp,37611812702844,5359
42,udp,37611852363864,2131
43,udp,37611936278964,4931
44,udp,37611969160554,2732
45,udp,37612062623034,4428
46,udp,37612111693104,3389
47,udp,37612167800274,3279
48,udp,37612222201584,3740
49,udp,37612283963364,3217
50,udp,37612337279364,4028
51,udp,37612379376234,2371
52,udp,37612418655924,2436
53,udp,37612483174044,4185
54,udp,37612527850584,2159
55,udp,37612587934494,4290
56,udp,37612634240664,2630
57,udp,37612750342194,5950
58,udp,37612800080064,3556
59,udp,37612834626114,2778
60,udp,37612904668344,3923
61,udp,37612969321374,3061
62,udp,37612995946614,2639
63,udp,37613063800494,4229
64,udp,37613109056274,1706
65,udp,37613137740984,2612
66,udp,37613205056034,2969
67,udp,37613254436604,3839
68,udp,37613293553484,2293
69,tcp,37613355804504,3236
70,udp,37613386617174,1934
71,udp,37613418930504,2509
72,udp,37613460437604,2052
73,udp,37613494555254,1932
74,udp,37613526860124,2657
75,udp,37613619148824,5039
76,udp,37613677947894,4184
77,udp,37613771048304,5770
78,udp,37613841565464,3327
79,udp,37613872425654,2676
80,udp,37613940829254,3355
81,udp,37614020650164,5518
82,udp,37614111343524,5540
83,udp,37614153959064,2718
84,udp,37614223013904,4300
85,udp,37614293761374,3857
86,udp,37614333066084,2434
87,udp,37614397611114,3911
88,udp,37614462071454,3408
89,udp,37614518509374,3663
90,udp,37614554767764,2477
91,udp,37614644210124,4600
92,udp,37614695997744,4391
93,udp,37614816628254,6779
94,udp,37614879532314,3160
95,udp,37614956252814,4442
96,udp,37615005531414,3054
97,udp,37615056316524,3676
98,udp,37615116957084,3280
99,udp,37615195635894,5339
100,udp,37615259221434,3531
101,udp,37615341833154,4661
102,udp,37615370393304,2686
103,udp,37615463130114,5386
104,udp,37615503291354,2883
105,udp,37615599263034,4753
106,udp,37615629269394,2403
107,udp,37615693264254,3729
108,udp,37615754823894,3365
109,udp,37615810535874,3459
110,udp,37615867801344,4287
111,udp,37615914094284,2494
112,udp,37615979502144,4133
113,udp,37616023269594,2501
114,udp,37616064706224,2423
115,udp,37616128977114,3694
116,udp,37616165798904,1856
117,udp,37616221002924,3290
118,udp,37616251321944,2799
119,udp,37616345891334,4521
120,udp,37616396430834,3241
121,udp,37616450189994,3029
122,udp,37616500539864,3231
123,udp,37616578354944,4485
124,udp,37616604131664,1964
125,udp,37616661114174,3737
126,udp,37616698537074,1892
127,udp,37616754377214,3596
128,udp,37616789604024,2148
129,udp,37616849545284,3930
130,udp,37616890068234,1974
131,udp,37616947204554,4237
132,udp,37616992695504,2749
133,udp,37617062243274,3609
134,udp,37617097642614,2799
135,udp,37617168058164,3490
136,udp,37617201517464,2672
137,udp,37617294054564,4591
138,udp,37617321512124,2597
139,udp,37617412835484,4477
140,udp,37617438441654,2789
141,udp,37617508659384,4379
142,udp,37617557539914,2370
143,udp,37617645210624,4484
144,udp,37617670922544,2258
145,udp,37617732598734,3655
146,udp,37617768806814,1926
147,udp,37617800881824,2476
148,udp,37617866092764,3506
149,udp,37617899833314,2822
150,udp,37617970596534,3880
151,udp,37618034548824,3359
152,udp,37618065932274,2232
153,udp,37618151468994,4665
154,udp,37618205043564,3746
155,udp,37618266812544,3162
156,udp,37618295057334,2820
157,udp,37618365759354,3572
158,udp,37618424783604,3384
159,udp,37618480807614,3343
160,udp,37618511963724,2636
161,udp,37618579721484,3045
162,udp,37618606080684,2747
163,udp,37618675642044,3002
164,udp,37618701358194,2592
165,udp,37618768378044,4288
166,udp,37618814667834,2519
167,udp,37618904742264,5246
168,udp,37618966919034,3109
169,udp,37619018473824,3818
170,udp,37619057226204,2287
171,udp,37619119442664,3136
172,udp,37619171476524,3647
173,udp,37619207487594,2411
174,udp,37619271664074,3070
175,udp,37619322636474,3584
176,udp,37619357710284,2316
177,udp,37619420266314,3882
178,udp,37619460070254,1891
179,udp,37619515878534,3159
180,udp,37619544100104,2010
181,udp,37619601802614,3714
182,udp,37619638874604,2931
183,udp,37619687220624,2580
184,udp,37619778182544,4616
185,udp,37619830937754,2952
186,udp,37619855848854,2165
187,udp,37619916115104,3111
