frame_index,transport_protocol,receive_time_ns,payload_bytes
0,tcp,38102201651214,7126
1,tcp,38102272653294,2951
2,tcp,38102274667404,1324
3,tcp,38102329623654,2564
4,tcp,38102369740254,3251
5,tcp,38102418199494,4139
6,tcp,38102466605724,2440
7,tcp,38102602279284,6088
8,tcp,38102650756344,3429
9,tcp,38102699258154,3993
10,tcp,38102748753654,2220
11,tcp,38102797197144,4268
12,tcp,38102845630734,2857
13,tcp,38102938289694,4427
14,tcp,38102965045524,2178
15,tcp,38103099014034,8031
16,tcp,38103147455634,3478
17,tcp,38103244390134,5088
18,tcp,38103292897434,2605
19,tcp,38103373151784,5317
20,tcp,38103421575474,2629
21,tcp,38103518428704,4246
22,tcp,38103518439504,1851
23,tcp,38103615359154,4085
24,tcp,38103663754044,2343
25,tcp,38103741501534,4480
26,tcp,38103741512244,1876
27,tcp,38103824470194,5037
28,tcp,38103860958264,2183
29,tcp,38103946608114,4664
30,tcp,38103995030634,2465
31,tcp,38104042024494,4255
32,tcp,38104089195744,2042
33,tcp,38104172488134,4102
34,tcp,38104192953684,1533
35,tcp,38104268166594,3027
36,tcp,38104319907594,3115
37,tcp,38104373050254,4622
38,tcp,38104427166984,2320
39,tcp,38104524130914,5073
40,tcp,38104524145674,1988
41,tcp,38104620904854,5359
42,tcp,38104669328184,2131
43,tcp,38104766243154,4931
44,tcp,38104766252784,2732
45,tcp,38104887354894,4428
46,tcp,38104935844284,3389
47,tcp,38104984259604,3279
48,tcp,38105032742604,3740
49,tcp,38105081173764,3217
50,tcp,38105178098544,4028
51,tcp,38105178112314,2371
52,tcp,38105226529704,2436
53,tcp,38105299277154,4185
54,tcp,38105347606074,2159
55,tcp,38105396098074,4290
56,tcp,38105444521944,2630
57,tcp,38105565667614,5950
58,tcp,38105638330104,3556
59,tcp,38105686795914,2778
60,tcp,38105710986024,3923
61,tcp,38105807867154,3061
62,tcp,38105807880114,2639
63,tcp,38105904777264,4229
64,tcp,38105953190964,1706
65,tcp,38105953202934,2612
66,tcp,38106001674954,2969
67,tcp,38106098577684,3839
68,tcp,38106147011274,2293
69,tcp,38106195494724,3236
70,tcp,38106195505704,1934
71,tcp,38106268138224,2509
72,tcp,38106268148934,2052
73,tcp,38106316613754,1932
74,tcp,38106389237184,2657
75,tcp,38106437769414,5039
76,tcp,38106534583584,4184
77,tcp,38106631480644,5770
78,tcp,38106679921794,3327
79,tcp,38106728382114,2676
80,tcp,38106752637564,3355
81,tcp,38106873735174,5518
82,tcp,38106970617564,5540
83,tcp,38106994843854,2718
84,tcp,38107091730294,4300
85,tcp,38107164458124,3857
86,tcp,38107188652104,2434
87,tcp,38107237114044,3911
88,tcp,38107285556364,3408
89,tcp,38107358229024,3663
90,tcp,38107406647404,2477
91,tcp,38107503575064,4600
92,tcp,38107576295064,4391
93,tcp,38107673158644,6779
94,tcp,38107721625714,3160
95,tcp,38107818517374,4442
96,tcp,38107866976884,3054
97,tcp,38107915417854,3676
98,tcp,38107988114454,3280
99,tcp,38108060749404,5339
100,tcp,38108109144654,3531
101,tcp,38108206055844,4661
102,tcp,38108230285644,2686
103,tcp,38108351428164,5386
104,tcp,38108375686764,2883
105,tcp,38108472530724,4753
106,tcp,38108520996984,2403
107,tcp,38108569478184,3729
108,tcp,38108642136534,3365
109,tcp,38108666320794,3459
110,tcp,38108763181584,4287
111,tcp,38108811689514,2494
112,tcp,38108860118694,4133
113,tcp,38108908547064,2501
114,tcp,38108957007474,2423
115,tcp,38109005429724,3694
116,tcp,38109029635854,1856
117,tcp,38109078110124,3290
118,tcp,38109126578544,2799
119,tcp,38109223454904,4521
120,tcp,38109247696044,3241
121,tcp,38109296191554,3029
122,tcp,38109368838834,3231
123,tcp,38109465711504,4485
124,tcp,38109465722304,1964
125,tcp,38109538474794,3737
126,tcp,38109586857084,1892
127,tcp,38109635350434,3596
128,tcp,38109659515704,2148
129,tcp,38109756452364,3930
130,tcp,38109780654804,1974
131,tcp,38109853296504,4237
132,tcp,38109901780494,2749
133,tcp,38109950178804,3609
134,tcp,38109998636064,2799
135,tcp,38110071323394,3490
136,tcp,38110119751224,2672
137,tcp,38110192429464,4591
138,tcp,38110240883664,2597
139,tcp,38110289354154,4477
140,tcp,38110362012684,2789
141,tcp,38110434681834,4379
142,tcp,38110434695964,2370
143,tcp,38110507421544,4484
144,tcp,38110580077734,2258
145,tcp,38110628443554,3655
146,tcp,38110652688564,1926
147,tcp,38110701195594,2476
148,tcp,38110749597774,3506
149,tcp,38110798005714,2822
150,tcp,38110870691874,3880
151,tcp,38110943361384,3359
152,tcp,38110943372184,2232
153,tcp,38111065620354,4665
154,tcp,38111089835484,3746
155,tcp,38111163667164,3162
156,tcp,38111212079424,2820
157,tcp,38111284764324,3572
158,tcp,38111308992324,3384
159,tcp,38111381641224,3343
160,tcp,38111430070404,2636
161,tcp,38111454327924,3045
162,tcp,38111502893274,2747
163,tcp,38111575441644,3002
164,tcp,38111623900524,2592
165,tcp,38111696558694,4288
166,tcp,38111720784984,2519
167,tcp,38111841908874,5246
168,tcp,38111890382334,3109
169,tcp,38111938778574,3818
170,tcp,38111963007564,2287
171,tcp,38112011455914,3136
172,tcp,38112084172584,3647
173,tcp,38112132547584,2411
174,tcp,38112156808524,3070
175,tcp,38112229505754,3584
176,tcp,38112277949244,2316
177,tcp,38112326355474,3882
178,tcp,38112399097884,1891
179,tcp,38112447523284,3159
180,tcp,38112447533904,2010
181,tcp,38112520174794,3714
182,tcp,38112592831524,2931
183,tcp,38112641355834,2580
184,tcp,38112689772594,4616
185,tcp,38112738160284,2952
186,tcp,38112786619884,2165
187,tcp,38112810939774,3111
188,tcp,38112883547004,1924
189,tcp,38112956219934,6647
190,tcp,38113053099804,5394
191,tcp,38113125782724,2819
192,tcp,38113198440174,5458
193,tcp,38113246876104,3306
194,tcp,38113319557944,3166
195,tcp,38113392260394,5491
196,tcp,38113464905244,2816
197,tcp,38113513396434,3940
198,tcp,38113561824804,2951
199,tcp,38113610251914,2934
200,tcp,38113682960844,4531
201,tcp,38113731369324,3496
202,tcp,38113828288434,3596
203,tcp,38113876735524,3298
204,tcp,38113901010144,2134
205,tcp,38113997873904,5293
206,tcp,38114046312894,2990
207,tcp,38114118942894,4484
208,tcp,38114191644534,2977
209,tcp,38114215923114,3949
210,tcp,38114264301354,2340
211,tcp,38114337022434,3228
212,tcp,38114385417864,2792
213,tcp,38114482338324,5501
214,tcp,38114530729884,2840
215,tcp,38114603485164,5763
216,tcp,38114700370704,4007
217,tcp,38114748781164,3079
218,tcp,38114773024464,2798
219,tcp,38114821472364,3973
220,tcp,38114869923774,2643
221,tcp,38114966786454,3867
222,tcp,38114991000144,3547
223,tcp,38115039515814,2266
224,tcp,38115136364724,4032
225,tcp,38115136376244,1812
226,tcp,38115209133954,3379
