frame_index,transport_protocol,receive_time_ns,payload_bytes
0,tcp,38687362773174,7126
1,tcp,38687362787484,2951
2,tcp,38687362790004,1324
3,tcp,38687563135044,2564
4,tcp,38687563145484,3251
5,tcp,38687563149264,4139
6,tcp,38687563150974,2440
7,tcp,38687597607204,6088
8,tcp,38687634992664,3429
9,tcp,38687667049494,3993
10,tcp,38687697659574,2220
11,tcp,38687763526974,4268
12,tcp,38687767274844,2857
13,tcp,38687797798794,4427
14,tcp,38687863634874,2178
15,tcp,38687879541654,8031
16,tcp,38687901740694,3478
17,tcp,38687967635544,5088
18,tcp,38687975819514,2605
19,tcp,38688001944984,5317
20,tcp,38688176161224,2629
21,tcp,38688298674534,4246
22,tcp,38688298684884,1851
23,tcp,38688298687674,4085
24,tcp,38688298689114,2343
25,tcp,38688298694514,4480
26,tcp,38688298696134,1876
27,tcp,38688410291544,5037
28,tcp,38688410302794,2183
29,tcp,38688469678404,4664
30,tcp,38688499246374,2465
31,tcp,38688569850654,4255
32,tcp,38688599365614,2042
33,tcp,38688673827204,4102
34,tcp,38688699514284,1533
35,tcp,38688770238894,3027
36,tcp,38688799748544,3115
37,tcp,38688870474504,4622
38,tcp,38688900079824,2320
39,tcp,38688952266864,5073
40,tcp,38688970745574,1988
41,tcp,38689052522364,5359
42,tcp,38689070951304,2131
43,tcp,38689152767604,4931
44,tcp,38689156580364,2732
45,tcp,38689171169724,4428
46,tcp,38689256774844,3389
47,tcp,38689271457264,3279
48,tcp,38689275331224,3740
49,tcp,38689357170564,3217
50,tcp,38689371688194,4028
51,tcp,38689416298224,2371
52,tcp,38689453618524,2436
53,tcp,38689457396364,4185
54,tcp,38689516526994,2159
55,tcp,38689520424804,4290
56,tcp,38689553910654,2630
57,tcp,38689616827314,5950
58,tcp,38689624640844,3556
59,tcp,38689654169844,2778
60,tcp,38689657923744,3923
61,tcp,38689717110534,3061
62,tcp,38689724919834,2639
63,tcp,38689754402394,4229
64,tcp,38689758219024,1706
65,tcp,38689762281084,2612
66,tcp,38689817323914,2969
67,tcp,38689854611904,3839
68,tcp,38689854622164,2293
69,tcp,38689862573484,3236
70,tcp,38689870534974,1934
71,tcp,38689917549804,2509
72,tcp,38689925373684,2052
73,tcp,38689925387094,1932
74,tcp,38689954867584,2657
75,tcp,38689970765004,5039
76,tcp,38690017683894,4184
77,tcp,38690055059274,5770
78,tcp,38690062859934,3327
79,tcp,38690112329784,2676
80,tcp,38690117850564,3355
81,tcp,38690155256454,5518
82,tcp,38690163080154,5540
83,tcp,38690218085544,2718
84,tcp,38690334247374,4300
85,tcp,38690334257094,3857
86,tcp,38690334259254,2434
87,tcp,38690334260424,3911
88,tcp,38690334261864,3408
89,tcp,38690434407384,3663
90,tcp,38690434423134,2477
91,tcp,38690434426554,4600
92,tcp,38690619779754,4391
93,tcp,38690619791724,6779
94,tcp,38690619793434,3160
95,tcp,38690635876614,4442
96,tcp,38690836196184,3054
97,tcp,38690836209504,3676
98,tcp,38690920276704,3280
99,tcp,38691036567234,5339
100,tcp,38691136757664,3531
101,tcp,38691237234744,4661
102,tcp,38691308576484,2686
103,tcp,38691337465134,5386
104,tcp,38691408784014,2883
105,tcp,38691638105904,4753
106,tcp,38691638118144,2403
107,tcp,38691638119944,3729
108,tcp,38691738246564,3365
109,tcp,38691792310644,3459
110,tcp,38692038795984,4287
111,tcp,38692038806064,2494
112,tcp,38692138941144,4133
113,tcp,38692142773434,2501
114,tcp,38692239067134,2423
115,tcp,38692514229174,3694
116,tcp,38692514243844,1856
117,tcp,38692539593964,3290
118,tcp,38692714549734,2799
119,tcp,38693015033544,4521
120,tcp,38693015043624,3241
121,tcp,38693372439744,3029
122,tcp,38693372450274,3231
123,tcp,38693552328234,4485
124,tcp,38693752644384,1964
125,tcp,38693752658424,3737
126,tcp,38693953015884,1892
127,tcp,38694153381444,3596
128,tcp,38694253537044,2148
129,tcp,38694460264524,3930
130,tcp,38694560545404,1974
131,tcp,38694660735654,4237
132,tcp,38694760956054,2749
133,tcp,38694861142704,3609
134,tcp,38694865096314,2799
135,tcp,38694873052674,3490
136,tcp,38694961318194,2672
137,tcp,38695020249114,4591
138,tcp,38695061566494,2597
139,tcp,38695165619274,4477
140,tcp,38695173687684,2789
141,tcp,38695265826084,4379
142,tcp,38695324314744,2370
143,tcp,38695366131534,4484
144,tcp,38695370155614,2258
145,tcp,38695462545384,3655
146,tcp,38695470364314,1926
147,tcp,38695470373764,2476
148,tcp,38695562743644,3506
149,tcp,38695570532964,2822
150,tcp,38695578725484,3880
151,tcp,38695662978534,3359
152,tcp,38695670756784,2232
153,tcp,38695770972684,4665
154,tcp,38695774829454,3746
155,tcp,38695782885444,3162
156,tcp,38696071469634,2820
157,tcp,38696071479174,3572
158,tcp,38696075270064,3384
159,tcp,38696075278254,3343
160,tcp,38696079359844,2636
161,tcp,38696171632344,3045
162,tcp,38696175455814,2747
163,tcp,38696271840324,3002
164,tcp,38696275640214,2592
165,tcp,38696372132994,4288
166,tcp,38696375846214,2519
167,tcp,38696392107414,5246
168,tcp,38696472431604,3109
169,tcp,38696484308274,3818
170,tcp,38696532349104,2287
171,tcp,38696572644084,3136
172,tcp,38696576462514,3647
173,tcp,38696588560854,2411
174,tcp,38696672835954,3070
175,tcp,38696680698534,3584
176,tcp,38696688811944,2316
177,tcp,38696773056354,3882
178,tcp,38696776851474,1891
179,tcp,38696780964294,3159
180,tcp,38696793072084,2010
181,tcp,38696873317974,3714
182,tcp,38696881165974,2931
183,tcp,38696885179344,2580
184,tcp,38696897315574,4616
185,tcp,38696973549264,2952
186,tcp,38696981394924,2165
187,tcp,38697282080784,3111
188,tcp,38697282093474,1924
189,tcp,38697282096894,6647
190,tcp,38697282104094,5394
191,tcp,38697323645394,2819
192,tcp,38697595600104,5458
193,tcp,38697595610634,3306
194,tcp,38697614326134,3166
195,tcp,38697795969534,5491
196,tcp,38697799760694,2816
197,tcp,38697896266254,3940
198,tcp,38697996502764,2951
199,tcp,38698190263854,2934
200,tcp,38698190278434,4531
201,tcp,38698260799554,3496
202,tcp,38698472167254,3596
203,tcp,38698568636274,3298
204,tcp,38698798280454,2134
205,tcp,38698798295574,5293
206,tcp,38698898458194,2990
207,tcp,38699199188604,4484
208,tcp,38699199204354,2977
209,tcp,38699368348284,3949
210,tcp,38699468569944,2340
211,tcp,38699472555684,3228
212,tcp,38699568880614,2792
213,tcp,38699869517244,5501
214,tcp,38699869527684,2840
215,tcp,38700069870114,5763
216,tcp,38700152282214,4007
217,tcp,38700170052174,3079
218,tcp,38700270239364,2798
219,tcp,38700282137184,3973
220,tcp,38700370436364,2643
221,tcp,38700428251374,3867
222,tcp,38700470657304,3547
223,tcp,38700474432984,2266
224,tcp,38700570905604,4032
225,tcp,38700578783394,1812
226,tcp,38700671101164,3379
227,tcp,38700678988134,3120
228,tcp,38700682991424,2586
229,tcp,38700779162184,4492
230,tcp,38700779172264,1986
231,tcp,38700971686314,4621
232,tcp,38701071860094,2696
233,tcp,38701175815584,4415
234,tcp,38701272149964,3050
235,tcp,38701275945714,3224
236,tcp,38701372353354,3793
237,tcp,38701372368204,2306
238,tcp,38701380192174,3234
239,tcp,38701472449284,3464
240,tcp,38701476199854,2374
241,tcp,38701572670494,4712
242,tcp,38701580497434,2875
243,tcp,38701672833564,4779
244,tcp,38701676558124,3194
245,tcp,38701732186764,3458
246,tcp,38701773017244,2434
247,tcp,38701780885494,4270
248,tcp,38701873168254,2913
249,tcp,38701876965264,3367
250,tcp,38701885055724,3111
251,tcp,38701973444994,4403
252,tcp,38701977213924,2369
253,tcp,38702073668004,4618
254,tcp,38702077561674,2774
255,tcp,38702085553584,4088
256,tcp,38702093632524,2213
257,tcp,38702173933494,5082
258,tcp,38702185814484,3250
259,tcp,38702185828344,2596
260,tcp,38702274127254,4279
261,tcp,38702278011474,2138
262,tcp,38702290101624,4041
263,tcp,38702290115754,2132
264,tcp,38702298218364,3117
265,tcp,38702382274854,3507
266,tcp,38702386210734,3516
267,tcp,38702390394204,3004
268,tcp,38702482489044,3239
269,tcp,38702486302704,3945
270,tcp,38702494352754,2033
271,tcp,38702498381964,3525
272,tcp,38702510501094,4133
273,tcp,38702582687304,2642
274,tcp,38702710858464,3469
275,tcp,38702710871064,2129
276,tcp,38702710873494,3274
277,tcp,38702710877274,2317
278,tcp,38702710879434,2991
279,tcp,38702899339884,5735
280,tcp,38702911165524,3006
281,tcp,38702911180014,5240
282,tcp,38702957525784,3661
283,tcp,38702999260944,3117
284,tcp,38703011250114,2001
285,tcp,38703111506154,3657
286,tcp,38703115271214,2878
287,tcp,38703189788154,3482
288,tcp,38703256229844,3778
289,tcp,38703311936874,2632
290,tcp,38703315744234,3508
291,tcp,38703412120194,2930
292,tcp,38703419952894,2472
293,tcp,38703512351754,4183
294,tcp,38703516166944,1833
295,tcp,38703520194984,3303
296,tcp,38703528261414,1564
297,tcp,38703620432034,3183
298,tcp,38703672229014,5034
299,tcp,38703712811274,2458
300,tcp,38703876368634,4470
301,tcp,38703876384474,2989
