frame_index,transport_protocol,receive_time_ns,payload_bytes
0,tcp,36303749340444,7126
1,tcp,36303820290774,2951
2,tcp,36303822386154,1324
3,tcp,36303877142154,2564
4,tcp,36303918547374,3251
5,tcp,36303966956844,4139
6,tcp,36304012866024,2440
7,tcp,36304152233814,6088
8,tcp,36304200655074,3429
9,tcp,36304249056084,3993
10,tcp,36304282397844,2220
11,tcp,36304379297334,4268
12,tcp,36304415981964,2857
13,tcp,36304512899724,4427
14,tcp,36304514893584,2178
15,tcp,36304673088114,8031
16,tcp,36304721566704,3478
17,tcp,36304818466104,5088
18,tcp,36304854763824,2605
19,tcp,36304951665744,5317
20,tcp,36305000126244,2629
21,tcp,36305048569374,4246
22,tcp,36305097093234,1851
23,tcp,36305145500274,4085
24,tcp,36305178929514,2343
25,tcp,36305267053014,4480
26,tcp,36305294640444,1876
27,tcp,36306474309594,5037
28,tcp,36306474322284,2183
29,tcp,36306474325974,4664
30,tcp,36306474328764,2465
31,tcp,36306643867164,4255
32,tcp,36306643876794,2042
33,tcp,36306684312264,4102
34,tcp,36306684325134,1533
35,tcp,36306684326934,3027
36,tcp,36306684328464,3115
37,tcp,36306684329904,4622
38,tcp,36306684331524,2320
39,tcp,36306684333054,5073
40,tcp,36306684334674,1988
41,tcp,36306684339534,5359
42,tcp,36306684341244,2131
43,tcp,36306684342774,4931
44,tcp,36306684344214,2732
45,tcp,36306684345744,4428
46,tcp,36306684348264,3389
47,tcp,36306684349794,3279
48,tcp,36306684352134,3740
49,tcp,36306684354204,3217
50,tcp,36306728971794,4028
51,tcp,36306728986104,2371
52,tcp,36306777388194,2436
53,tcp,36306850089294,4185
54,tcp,36306898496964,2159
55,tcp,36307963250964,4290
56,tcp,36307963260234,2630
57,tcp,36307963261944,5950
58,tcp,36307963265634,3556
59,tcp,36307963266894,2778
60,tcp,36307963268964,3923
61,tcp,36307963270224,3061
62,tcp,36307963274814,2639
63,tcp,36308278249704,4229
64,tcp,36308278261674,1706
65,tcp,36308278264734,2612
66,tcp,36308278270674,2969
67,tcp,36308278273914,3839
68,tcp,36308278276344,2293
69,tcp,36308278278864,3236
70,tcp,36308278281114,1934
71,tcp,36308496186054,2509
72,tcp,36308496196404,2052
73,tcp,36308496197754,1932
74,tcp,36308496198834,2657
75,tcp,36308496200904,5039
76,tcp,36308496202164,4184
77,tcp,36308496204234,5770
78,tcp,36308980668474,3327
79,tcp,36308980679094,2676
80,tcp,36308980683144,3355
81,tcp,36308980685394,5518
82,tcp,36309295569024,5540
83,tcp,36309295579554,2718
84,tcp,36309295581444,4300
85,tcp,36309368214864,3857
86,tcp,36309392441154,2434
87,tcp,36309392450154,3911
88,tcp,36309392451594,3408
89,tcp,36309392453754,3663
90,tcp,36309392454924,2477
91,tcp,36309392456544,4600
92,tcp,36309416669334,4391
93,tcp,36309998058534,6779
94,tcp,36309998068074,3160
95,tcp,36309998070144,4442
96,tcp,36309998071404,3054
97,tcp,36309998072844,3676
98,tcp,36310143467574,3280
99,tcp,36310143479904,5339
100,tcp,36310143483774,3531
101,tcp,36310143486114,4661
102,tcp,36310143488274,2686
103,tcp,36310555301184,5386
104,tcp,36310555315044,2883
105,tcp,36310555318824,4753
106,tcp,36310555321074,2403
107,tcp,36310555323054,3729
108,tcp,36310555329354,3365
109,tcp,36310579485084,3459
110,tcp,36310652132814,4287
111,tcp,36310700546244,2494
112,tcp,36310749023754,4133
113,tcp,36310779540504,2501
114,tcp,36311099419224,2423
115,tcp,36311099429394,3694
116,tcp,36311099431284,1856
117,tcp,36311222001294,3290
118,tcp,36311222010654,2799
119,tcp,36311222012724,4521
120,tcp,36311222014434,3241
121,tcp,36311276668644,3029
122,tcp,36311347983474,3231
123,tcp,36311476876524,4485
124,tcp,36311476891464,1964
125,tcp,36311780275614,3737
126,tcp,36311780296224,1892
127,tcp,36311780300004,3596
128,tcp,36311780301894,2148
129,tcp,36311795370774,3930
130,tcp,36311822498754,1974
131,tcp,36311980427964,4237
132,tcp,36312022723284,2749
133,tcp,36312122961684,3609
134,tcp,36312180542154,2799
135,tcp,36312322980204,3490
136,tcp,36312345855504,2672
137,tcp,36312418592964,4591
138,tcp,36312523170624,2597
139,tcp,36312570252144,4477
140,tcp,36312618710844,2789
141,tcp,36312723310824,4379
142,tcp,36312723321624,2370
143,tcp,36312794618634,4484
144,tcp,36312843110184,2258
145,tcp,36312923488284,3655
146,tcp,36312946281324,1926
147,tcp,36312994841994,2476
148,tcp,36313044314994,3506
149,tcp,36313123579254,2822
150,tcp,36313170647544,3880
151,tcp,36313220273994,3359
152,tcp,36313244483814,2232
153,tcp,36313346631204,4665
154,tcp,36313395072624,3746
155,tcp,36313444600704,3162
156,tcp,36313523863254,2820
157,tcp,36313570939014,3572
158,tcp,36313620502734,3384
159,tcp,36313692120684,3343
160,tcp,36313724097954,2636
161,tcp,36313764785064,3045
162,tcp,36313813228464,2747
163,tcp,36313837485354,3002
164,tcp,36313892241354,2592
165,tcp,36314225007534,4288
166,tcp,36314225016714,2519
167,tcp,36314225018604,5246
168,tcp,36314225020044,3109
169,tcp,36314279736444,3818
170,tcp,36314328308724,2287
171,tcp,36314400945294,3136
172,tcp,36314479893294,3647
173,tcp,36314502757344,2411
174,tcp,36314528453064,3070
175,tcp,36314625383694,3584
176,tcp,36314702889174,2316
177,tcp,36314725738194,3882
178,tcp,36314774208054,1891
179,tcp,36314846916984,3159
180,tcp,36314846927244,2010
181,tcp,36314943800364,3714
182,tcp,36314992214424,2931
183,tcp,36315016496694,2580
184,tcp,36315089189244,4616
185,tcp,36315137609424,2952
186,tcp,36315185987574,2165
187,tcp,36315234492444,3111
188,tcp,36315258789114,1924
189,tcp,36315379843704,6647
190,tcp,36315476724564,5394
191,tcp,36315525209274,2819
192,tcp,36315869309424,5458
193,tcp,36315893552274,3306
194,tcp,36315893564694,3166
195,tcp,36315893566764,5491
196,tcp,36316292529834,2816
197,tcp,36316316719314,3940
198,tcp,36316316729934,2951
199,tcp,36316316731554,2934
200,tcp,36316349977914,4531
201,tcp,36316398563064,3496
202,tcp,36316516868694,3596
203,tcp,36316564061814,3298
204,tcp,36316612419984,2134
205,tcp,36316692896724,5293
206,tcp,36316717061364,2990
207,tcp,36316835517384,4484
208,tcp,36316908149544,2977
209,tcp,36316956571974,3949
210,tcp,36317012766984,2340
211,tcp,36317108259504,3228
212,tcp,36317131135704,2792
213,tcp,36317203826634,5501
214,tcp,36317276504604,2840
215,tcp,36317878156494,5763
216,tcp,36317878165674,4007
217,tcp,36317878167114,3079
218,tcp,36317878169364,2798
219,tcp,36317878170534,3973
220,tcp,36317878171614,2643
221,tcp,36317878173054,3867
222,tcp,36317878174494,3547
223,tcp,36317925233604,2266
224,tcp,36318101116824,4032
225,tcp,36318396848814,1812
226,tcp,36318422426364,3379
227,tcp,36318422438604,3120
228,tcp,36318422441844,2586
229,tcp,36318422444184,4492
230,tcp,36318575243304,1986
231,tcp,36318622566294,4621
232,tcp,36318775407444,2696
233,tcp,36318822720714,4415
234,tcp,36318975742404,3050
235,tcp,36319022934534,3224
236,tcp,36319120237224,3793
237,tcp,36319175899254,2306
238,tcp,36319223124054,3234
239,tcp,36319376125764,3464
240,tcp,36319398985764,2374
241,tcp,36319576333734,4712
242,tcp,36319599186894,2875
243,tcp,36319647631914,4779
244,tcp,36319776558624,3194
245,tcp,36319799448054,3458
246,tcp,36320176865214,2434
247,tcp,36320176879344,4270
248,tcp,36320176884114,2913
249,tcp,36320223905334,3367
250,tcp,36320249450754,3111
251,tcp,36320449597344,4403
252,tcp,36320472493704,2369
253,tcp,36320777312454,4618
254,tcp,36320777322984,2774
255,tcp,36320777324784,4088
256,tcp,36320850007434,2213
257,tcp,36321073019154,5082
258,tcp,36321692330844,3250
259,tcp,36321892489944,2596
260,tcp,36321915355884,4279
261,tcp,36322092671904,2138
262,tcp,36322115575194,4041
263,tcp,36322292956734,2132
264,tcp,36322493000544,3117
265,tcp,36322515852354,3507
266,tcp,36322693181064,3516
267,tcp,36322716093444,3004
268,tcp,36322893296334,3239
269,tcp,36322916143914,3945
270,tcp,36322964657424,2033
271,tcp,36323093543544,3525
272,tcp,36323212270374,4133
273,tcp,36323293793994,2642
274,tcp,36323340869484,3469
275,tcp,36323484310944,2129
276,tcp,36323493996474,3274
277,tcp,36323541115884,2317
278,tcp,36323941477464,2991
279,tcp,36324052437474,5735
280,tcp,36324052450344,3006
281,tcp,36324095662044,5240
282,tcp,36324252608274,3661
283,tcp,36324295808004,3117
284,tcp,36324452800674,2001
285,tcp,36324475634484,3657
286,tcp,36324548339544,2878
287,tcp,36324675877104,3482
288,tcp,36324724322394,3778
289,tcp,36325276413534,2632
290,tcp,36325276422894,3508
291,tcp,36325276425234,2930
292,tcp,36325276426404,2472
293,tcp,36325276427934,4183
294,tcp,36325712277684,1833
295,tcp,36325752519654,3303
296,tcp,36325752533514,1564
297,tcp,36325877980554,3183
298,tcp,36326312696754,5034
299,tcp,36326312710074,2458
300,tcp,36326600330724,4470
301,tcp,36326800525464,2989
302,tcp,36327200972004,2515
303,tcp,36327200983074,3693
304,tcp,36327401172774,2379
305,tcp,36327423988314,3118
306,tcp,36327601280214,1585
307,tcp,36327801516804,4164
308,tcp,36328001730084,3099
309,tcp,36328201988454,7883
310,tcp,36328802553414,5098
311,tcp,36329376454164,3781
312,tcp,36329576613174,3610
313,tcp,36329776743744,2044
314,tcp,36329977022364,4700
315,tcp,36329999826294,2763
316,tcp,36330600498534,5236
317,tcp,36330600510954,3150
318,tcp,36330800696064,2402
319,tcp,36331116463764,4598
320,tcp,36331236280494,3024
321,tcp,36331316687034,4748
322,tcp,36331517013174,2423
323,tcp,36331539891174,3122
324,tcp,36331740166374,3921
325,tcp,36331740180684,2102
326,tcp,36331940368854,5043
327,tcp,36332117719704,3147
328,tcp,36332140612644,3082
329,tcp,36332518230054,5639
330,tcp,36332541105894,3102
331,tcp,36333285621174,3638
332,tcp,36333285630084,3711
333,tcp,36333285632424,2934
334,tcp,36333285633864,3961
335,tcp,36333285635484,3183
336,tcp,36333485774154,3978
337,tcp,36333485784144,2235
338,tcp,36333685962324,3261
339,tcp,36333781439634,5869
340,tcp,36333886138344,3057
341,tcp,36333957398274,4255
342,tcp,36334086204924,2634
343,tcp,36334109090664,3960
344,tcp,36334157546394,2441
345,tcp,36334286335944,4127
346,tcp,36334309223934,2448
347,tcp,36334486555074,4848
348,tcp,36334509406974,3078
349,tcp,36334686740454,5106
350,tcp,36334709674344,3396
351,tcp,36334782320454,2857
352,tcp,36335252451834,5558
353,tcp,36335252463804,3581
354,tcp,36335252465514,3285
355,tcp,36335252467044,644
356,tcp,36335252468844,2811
357,tcp,36335344353804,4524
358,tcp,36335511543384,2391
359,tcp,36335711733804,5674
360,tcp,36335832563664,3091
361,tcp,36335855430954,3059
362,tcp,36335912067504,3975
363,tcp,36336032785584,2224
364,tcp,36336433112874,5510
365,tcp,36336512703204,3379
366,tcp,36336512719944,2571
367,tcp,36336512722284,5496
368,tcp,36336633281244,2347
369,tcp,36336785054004,4707
370,tcp,36336807957564,1651
371,tcp,36336985305264,4608
372,tcp,36337008179934,2342
373,tcp,36337113138564,4551
374,tcp,36337185561834,2639
375,tcp,36337319368164,4134
376,tcp,36337343557824,2610
377,tcp,36337496646024,5069
378,tcp,36337543709184,2309
379,tcp,36338248524924,4759
380,tcp,36338248534284,3776
381,tcp,36338248536714,2539
382,tcp,36338248537884,4033
383,tcp,36338248539414,2758
384,tcp,36338295600144,3537
385,tcp,36338448654864,2096
386,tcp,36338648976144,4271
387,tcp,36338671812024,1770
388,tcp,36338720205114,2830
389,tcp,36339108280434,3862
390,tcp,36339272472294,3472
391,tcp,36339272485344,2697
392,tcp,36339272493174,3314
393,tcp,36339272496054,3144
394,tcp,36339472600074,3310
395,tcp,36339472612764,2397
396,tcp,36339695767584,3307
397,tcp,36339695781624,2409
398,tcp,36339873182244,3963
399,tcp,36339896087784,2485
400,tcp,36339944512644,4441
401,tcp,36340073420364,2057
402,tcp,36340120476684,4257
403,tcp,36340168908114,3227
404,tcp,36340273670814,2567
405,tcp,36340320707964,4109
406,tcp,36340344974844,2045
407,tcp,36340473885354,4122
408,tcp,36340674142104,2423
409,tcp,36340696990854,3079
410,tcp,36340745462064,2583
411,tcp,36340793934894,3348
412,tcp,36340874369964,2275
413,tcp,36340897234824,3662
414,tcp,36340945663464,2177
415,tcp,36341074632384,3580
416,tcp,36341097468894,3650
417,tcp,36341145928314,1950
418,tcp,36341274888774,2188
419,tcp,36341297942724,3259
420,tcp,36341321922234,2320
421,tcp,36341370378684,4062
422,tcp,36341475075684,2694
423,tcp,36341570595924,2731
424,tcp,36341593422354,3506
425,tcp,36341675301474,3597
426,tcp,36341714544984,2394
427,tcp,36341770816494,1937
428,tcp,36341793659304,3051
429,tcp,36341995297284,10888
430,tcp,36342075672954,5323
431,tcp,36342171132174,5659
432,tcp,36342219580884,3623
433,tcp,36342261735714,3203
434,tcp,36342310129884,3072
435,tcp,36342419750334,3642
436,tcp,36342419761494,2503
437,tcp,36342528164604,5080
438,tcp,36342552373614,2784
439,tcp,36342649285254,4175
440,tcp,36342697741434,3411
441,tcp,36342770452164,4161
442,tcp,36342818919144,3043
443,tcp,36342867308814,4094
444,tcp,36342915800814,1496
445,tcp,36342964184004,2226
446,tcp,36343012661244,3454
447,tcp,36343376111304,4784
448,tcp,36343400218344,2821
449,tcp,36343400228784,4333
450,tcp,36343400233194,2431
451,tcp,36343400234904,3564
452,tcp,36343456219674,2148
453,tcp,36343534020444,5087
454,tcp,36343576218924,2645
455,tcp,36343656365364,4456
456,tcp,36343976630274,1819
457,tcp,36343976644314,3908
458,tcp,36343976648994,2547
459,tcp,36343976651694,6075
460,tcp,36344056656654,3073
461,tcp,36344134595664,5643
462,tcp,36344236244364,2434
463,tcp,36344283331104,5186
464,tcp,36344376969894,2544
465,tcp,36344457113454,4301
466,tcp,36344743789644,2877
467,tcp,36344743798644,3766
468,tcp,36344743801074,2514
469,tcp,36344743802514,3887
470,tcp,36344743803774,1788
471,tcp,36344777322834,2803
472,tcp,36344905590744,4062
473,tcp,36345048488694,3631
474,tcp,36345105848754,2812
475,tcp,36345248731674,4685
476,tcp,36345320073324,4124
477,tcp,36345320086464,2239
478,tcp,36345448942434,4486
479,tcp,36345471889644,2393
480,tcp,36345544566084,3181
481,tcp,36345649087314,3096
482,tcp,36345696185574,4312
483,tcp,36345744642834,2551
484,tcp,36345849215274,5022
485,tcp,36345896317134,2908
486,tcp,36345944868894,4980
487,tcp,36346049395074,2446
488,tcp,36346144955004,5587
