frame_index,transport_protocol,receive_time_ns,payload_bytes
0,tcp,36507699425934,7126
1,tcp,36507758185044,2951
2,tcp,36507758560974,1324
3,tcp,36507820894704,2564
4,tcp,36507831901074,3251
5,tcp,36507891310524,4139
6,tcp,36507894850494,2440
7,tcp,36507966206184,6088
8,tcp,36507975377634,3429
9,tcp,36508024651104,3993
10,tcp,36508027767354,2220
11,tcp,36508091363514,4268
12,tcp,36508095229824,2857
13,tcp,36508158126054,4427
14,tcp,36508162667184,2178
15,tcp,36508281237774,8031
16,tcp,36508281247764,3478
17,tcp,36508305154374,5088
18,tcp,36508313329164,2605
19,tcp,36508358028474,5317
20,tcp,36508364885034,2629
21,tcp,36508424647554,4246
22,tcp,36508428497754,1851
23,tcp,36508491402804,4085
24,tcp,36508494811104,2343
25,tcp,36508558034934,4480
26,tcp,36508562704854,1876
27,tcp,36508674343554,5037
28,tcp,36508674353004,2183
29,tcp,36508698519624,4664
30,tcp,36508698552024,2465
31,tcp,36508758011244,4255
32,tcp,36508761869004,2042
33,tcp,36508824787194,4102
34,tcp,36508828101444,1533
35,tcp,36508891439214,3027
36,tcp,36508900082544,3115
37,tcp,36508958143254,4622
38,tcp,36508963074174,2320
39,tcp,36509024742084,5073
40,tcp,36509030899524,1988
41,tcp,36509091346764,5359
42,tcp,36509098309074,2131
43,tcp,36509158066554,4931
44,tcp,36509163925104,2732
45,tcp,36509224705884,4428
46,tcp,36509237291844,3389
47,tcp,36509291377884,3279
48,tcp,36509300637534,3740
49,tcp,36509358134934,3217
50,tcp,36509367228534,4028
51,tcp,36509420931354,2371
52,tcp,36509423323824,2436
53,tcp,36509491322784,4185
54,tcp,36509495021514,2159
55,tcp,36509558050944,4290
56,tcp,36509561971074,2630
57,tcp,36509632853724,5950
58,tcp,36509641522254,3556
59,tcp,36509687597394,2778
60,tcp,36509699226924,3923
61,tcp,36509758179714,3061
62,tcp,36509758725744,2639
63,tcp,36509824709964,4229
64,tcp,36509828436504,1706
65,tcp,36509887549854,2612
66,tcp,36509898779964,2969
