frame_index,transport_protocol,receive_time_ns,payload_bytes
0,udp,58559685398874,6663
1,udp,58559698054764,121
2,udp,58559700715074,92
3,udp,58559738362524,112
4,udp,58559779919394,94
5,udp,58559821565724,61
6,udp,58559863312134,61
7,udp,58559905044684,49
8,udp,58559946582654,41
9,udp,58559988295494,39
10,udp,58560030002124,35
11,udp,58560071652324,28
12,udp,58560113207304,131
13,udp,58560154858674,26
14,udp,58560196596264,24
15,udp,58560238311624,22
16,udp,58560279867324,19
17,udp,58560321579534,18
18,udp,58560363311634,17
19,udp,58560405049224,17
20,udp,58560446632284,18
21,udp,58560488274564,17
22,udp,58560529928724,17
23,udp,58560571568484,18
24,udp,58560613306884,539
25,udp,58560654887604,80
26,udp,58560696550044,53
27,udp,58560738357204,52
28,udp,58560779903364,45
29,udp,58560821578674,45
30,udp,58560863256144,45
31,udp,58560904984014,41
32,udp,58560946605684,37
33,udp,58560988218444,40
34,udp,58561029927954,39
35,udp,58561071604074,35
36,udp,58561113225114,201
37,udp,58561154913294,39
38,udp,58561196720004,37
39,udp,58561238304234,42
40,udp,58561280108424,39
41,udp,58561321581414,33
42,udp,58561363318644,39
43,udp,58561404957504,37
44,udp,58561446635784,35
45,udp,58561488278514,39
46,udp,58561529930964,36
47,udp,58561571613204,35
48,udp,58561613575614,1034
49,udp,58561654908834,71
50,udp,58561696615284,48
51,udp,58561738316604,36
52,udp,58561779959064,65
53,udp,58561821585054,20
54,udp,58561863232104,20
55,udp,58561904960604,24
56,udp,58561946649234,20
57,udp,58561988320944,20
58,udp,58562029969254,20
59,udp,58562071645464,20
60,udp,58562113344444,226
61,udp,58562154977004,28
62,udp,58562196613884,28
63,udp,58562238287934,28
64,udp,58562280054954,25
65,udp,58562321630544,26
66,udp,58562363257884,25
67,udp,58562404870914,25
68,udp,58562446556574,22
69,udp,58562488297854,22
70,udp,58562529911154,22
71,udp,58562571576384,22
72,udp,58562613241074,824
73,udp,58562654935644,60
74,udp,58562696656044,42
75,udp,58562738271234,72
76,udp,58562779893714,31
77,udp,58562821587654,29
78,udp,58562863221204,26
79,udp,58562904890754,20
80,udp,58562946598464,18
81,udp,58562988289794,17
82,udp,58563029899944,17
83,udp,58563071572554,18
84,udp,58563113261544,191
85,udp,58563154930914,25
86,udp,58563196704594,21
87,udp,58563238292874,22
88,udp,58563279919584,20
89,udp,58563321650334,20
90,udp,58563363283074,20
91,udp,58563404893314,20
92,udp,58563446643774,20
93,udp,58563488285874,20
94,udp,58563529978734,20
95,udp,58563571625424,20
96,udp,58563613334034,934
97,udp,58563654984324,61
98,udp,58563696602574,39
99,udp,58563738279504,30
100,udp,58563779873274,48
101,udp,58563821687454,26
102,udp,58563863268264,29
103,udp,58563904988034,22
104,udp,58563946548054,20
105,udp,58563988268724,20
106,udp,58564029830544,19
107,udp,58564071576324,20
108,udp,58564113263784,179
109,udp,58564154980584,23
110,udp,58564196559144,22
111,udp,58564238281074,22
112,udp,58564279917144,21
113,udp,58564321532064,22
114,udp,58564363250124,21
115,udp,58564404950724,21
116,udp,58564446538914,22
117,udp,58564488209904,21
118,udp,58564529924634,21
119,udp,58564571532894,22
120,udp,58564613333034,982
121,udp,58564654960554,103
122,udp,58564696954374,37
123,udp,58564738362294,31
124,udp,58564779995574,23
125,udp,58564821569094,22
126,udp,58564863293004,23
127,udp,58564904895144,22
128,udp,58564946613384,22
