frame_index,transport_protocol,receive_time_ns,payload_bytes
1,udp,60168122894664,121
2,udp,60168158453484,92
3,udp,60168200148144,112
4,udp,60168241742274,94
5,udp,60168283420914,61
6,udp,60168325067424,61
7,udp,60168366680634,49
8,udp,60168408410754,41
9,udp,60168450087864,39
10,udp,60168491825904,35
11,udp,60168533398164,28
12,udp,60168575107134,131
13,udp,60168616717644,26
14,udp,60168658437864,24
15,udp,60168700076004,22
16,udp,60168741744564,19
18,udp,60168825088974,17
20,udp,60168908416644,18
21,udp,60168950003304,17
22,udp,60168991697604,17
23,udp,60169033341324,18
24,udp,60169075027794,539
25,udp,60169116697614,80
26,udp,60169158400914,53
28,udp,60169241791044,45
29,udp,60169283410914,45
30,udp,60169325070654,45
31,udp,60169366837494,41
32,udp,60169408337844,37
33,udp,60169450048614,40
34,udp,60169491755064,39
35,udp,60169533424074,35
36,udp,60169575040794,201
37,udp,60169616699724,39
38,udp,60169658365224,37
39,udp,60169700134134,42
40,udp,60169741731144,39
41,udp,60169783459734,33
42,udp,60169825051074,39
43,udp,60169866700374,37
44,udp,60169908421404,35
45,udp,60169950094464,39
46,udp,60169991775804,36
47,udp,60170033316654,35
48,udp,60170075144604,1034
49,udp,60170116744944,71
51,udp,60170200113834,36
52,udp,60170241691494,65
53,udp,60170283345114,20
54,udp,60170325138234,20
55,udp,60170366678274,24
56,udp,60170408408574,20
57,udp,60170450071194,20
58,udp,60170491721664,20
59,udp,60170533380684,20
60,udp,60170575044204,226
61,udp,60170616722934,28
62,udp,60170658401934,28
63,udp,60170700131244,28
64,udp,60170741664264,25
65,udp,60170783381604,26
66,udp,60170825049894,25
67,udp,60170866742844,25
68,udp,60170908428594,22
69,udp,60170950338984,22
70,udp,60170991744744,22
71,udp,60171033394584,22
72,udp,60171075083214,824
73,udp,60171116735124,60
74,udp,60171158397564,42
75,udp,60171200134524,72
76,udp,60171241822524,31
77,udp,60171283382544,29
78,udp,60171325097094,26
79,udp,60171366696354,20
80,udp,60171408407214,18
81,udp,60171450015294,17
82,udp,60171491788884,17
