frame_index,transport_protocol,receive_time_ns,payload_bytes
0,tcp,64064312795754,6663
1,udp,64064342666394,121
2,udp,64064384495784,92
3,udp,64064425935834,112
4,udp,64064467663884,94
5,udp,64064509237494,61
7,udp,64064592552114,49
8,udp,64064634359004,41
9,udp,64064675906874,39
10,udp,64064717615484,35
11,udp,64064759311764,28
12,udp,64064800985454,131
13,udp,64064842570764,26
14,udp,64064884484574,24
15,udp,64064925941094,22
16,udp,64064967651144,19
17,udp,64065009233754,18
18,udp,64065050970624,17
19,udp,64065092642784,17
20,udp,64065134247174,18
21,udp,64065175930944,17
22,udp,64065217595994,17
23,udp,64065259274724,18
24,udp,64065300938694,539
25,udp,64065342575214,80
26,udp,64065384247734,53
27,udp,64065425920704,52
28,udp,64065467541114,45
29,udp,64065509255844,45
30,udp,64065550878774,45
31,udp,64065592904184,41
33,udp,64065675971754,40
34,udp,64065717637704,39
35,udp,64065759269994,35
37,udp,64065842582004,39
39,udp,64065925951344,42
40,udp,64065967642224,39
41,udp,64066009268664,33
42,udp,64066050973494,39
43,udp,64066092530994,37
44,udp,64066134292794,35
45,udp,64066175922924,39
46,udp,64066217626494,36
47,udp,64066259264994,35
48,udp,64066301187624,1034
49,udp,64066342619754,71
50,udp,64066384335564,48
51,udp,64066426068384,36
52,udp,64066467615624,65
53,udp,64066509285804,20
54,udp,64066551039144,20
55,udp,64066592654784,24
56,udp,64066634235324,20
57,udp,64066675919274,20
58,udp,64066717620324,20
59,udp,64066759342884,20
60,udp,64066800956094,226
61,udp,64066842630504,28
62,udp,64066884629004,28
63,udp,64066925901024,28
64,udp,64066967639154,25
65,udp,64067009320584,26
66,udp,64067051019294,25
67,udp,64067092713684,25
68,udp,64067134210794,22
69,udp,64067175916164,22
70,udp,64067217628644,22
71,udp,64067259218544,22
72,udp,64067301027594,824
73,udp,64067342572404,60
74,udp,64067384261934,42
75,udp,64067425919514,72
76,udp,64067467636764,31
77,udp,64067509265274,29
78,udp,64067551037334,26
79,udp,64067592619674,20
80,udp,64067634239544,18
81,udp,64067675958594,17
82,udp,64067717573334,17
83,udp,64067759228484,18
84,udp,64067801140494,191
85,udp,64067842593594,25
86,udp,64067884249284,21
87,udp,64067925959244,22
88,udp,64067967576684,20
89,udp,64068009362064,20
90,udp,64068050894094,20
91,udp,64068092632944,20
92,udp,64068134208264,20
93,udp,64068175895994,20
94,udp,64068217671474,20
95,udp,64068259316904,20
96,udp,64068300917154,934
97,udp,64068342709374,61
98,udp,64068384380904,39
99,udp,64068426012654,30
100,udp,64068467678244,48
101,udp,64068509330784,26
102,udp,64068550917804,29
103,udp,64068592633974,22
104,udp,64068634255824,20
105,udp,64068675937524,20
106,udp,64068717625704,19
107,udp,64068759264204,20
108,udp,64068801030864,179
109,udp,64068842665224,23
110,udp,64068884354124,22
111,udp,64068925897494,22
112,udp,64068967768014,21
113,udp,64069009267554,22
114,udp,64069050982014,21
115,udp,64069092601164,21
116,udp,64069134278634,22
117,udp,64069175920644,21
118,udp,64069217617914,21
119,udp,64069259259294,22
120,udp,64069300899864,982
121,udp,64069342629894,103
122,udp,64069384279104,37
123,udp,64069425955584,31
124,udp,64069467606234,23
125,udp,64069509284424,22
126,udp,64069551080244,23
127,udp,64069592653584,22
128,udp,64069634318724,22
129,udp,64069676152524,22
130,udp,64069717638024,20
131,udp,64069759324314,20
132,udp,64069800947964,70
133,udp,64069842684474,19
134,udp,64069884334494,20
135,udp,64069926012414,17
136,udp,64069967616354,17
137,udp,64070009280144,18
138,udp,64070051266314,17
139,udp,64070092638414,17
140,udp,64070134365114,18
141,udp,64070176104234,17
142,udp,64070217646254,17
143,udp,64070259265224,18
144,udp,64070301014514,1140
145,udp,64070342596764,36
146,udp,64070384444154,33
147,udp,64070425994004,32
148,udp,64070467740234,24
149,udp,64070509305564,20
150,udp,64070551233144,20
151,udp,64070592648534,21
152,udp,64070634383514,20
154,udp,64070717582484,19
155,udp,64070759275614,18
159,udp,64070925944634,29
160,udp,64070967521574,26
161,udp,64071009282384,25
162,udp,64071050928804,27
163,udp,64071092623914,21
164,udp,64071134272404,20
165,udp,64071175964814,19
166,udp,64071217865754,19
167,udp,64071259375824,20
168,udp,64071300875544,648
169,udp,64071342657504,49
170,udp,64071384256224,35
171,udp,64071425935224,36
172,udp,64071467709174,24
173,udp,64071509288724,20
174,udp,64071551094894,17
175,udp,64071592629354,17
176,udp,64071634504284,18
177,udp,64071675913554,17
178,udp,64071717612894,17
179,udp,64071759360384,18
180,udp,64071800923644,219
181,udp,64071842553864,25
182,udp,64071884301984,25
183,udp,64071925924464,26
184,udp,64071967619574,25
185,udp,64072009226484,22
186,udp,64072050935634,22
187,udp,64072092610674,21
188,udp,64072134281394,22
190,udp,64072217613384,21
191,udp,64072259392914,20
193,udp,64072342624014,212
194,udp,64072384309044,44
195,udp,64072425933234,37
196,udp,64072467552744,54
197,udp,64072509364314,29
198,udp,64072550896614,29
199,udp,64072592634024,28
200,udp,64072634262984,25
201,udp,64072676064204,25
202,udp,64072717724304,21
203,udp,64072759459914,22
204,udp,64072800992664,167
205,udp,64072842674724,31
206,udp,64072884511674,24
207,udp,64072925957574,22
208,udp,64072967663034,20
209,udp,64073009265894,20
210,udp,64073050930134,20
211,udp,64073092572324,20
212,udp,64073134488654,20
213,udp,64073175912144,20
214,udp,64073217670704,20
215,udp,64073259299034,20
216,udp,64073301020334,911
217,udp,64073342671434,51
218,udp,64073384415144,30
219,udp,64073426062554,27
220,udp,64073467723284,23
221,udp,64073509319124,21
222,udp,64073550914064,21
223,udp,64073592719154,19
224,udp,64073634292764,18
225,udp,64073676065994,15
226,udp,64073717594064,15
227,udp,64073759316084,16
228,udp,64073800929114,193
229,udp,64073842604784,21
230,udp,64073884393404,19
231,udp,64073925943794,20
232,udp,64073967526224,17
233,udp,64074009340044,18
234,udp,64074050933454,17
235,udp,64074092653044,18
236,udp,64074134240874,18
237,udp,64074175972884,18
238,udp,64074217687704,17
239,udp,64074259254114,16
240,udp,64074300971274,1107
241,udp,64074342559284,235
242,udp,64074384380394,45
243,udp,64074425886144,28
244,udp,64074467630934,100
245,udp,64074509200134,32
246,udp,64074550968864,27
247,udp,64074592542654,24
248,udp,64074634278444,22
249,udp,64074675890574,18
250,tcp,64074721369014,4675
251,udp,64074759290154,96
252,udp,64074800964834,204
253,udp,64074842698374,159
254,udp,64074884446134,67
255,udp,64074926019654,51
256,udp,64074967675614,79
257,udp,64075009323294,38
258,udp,64075050965934,37
259,udp,64075092939144,35
260,udp,64075134289914,24
261,udp,64075175954424,20
262,udp,64075217636484,19
263,udp,64075259308734,15
264,udp,64075300952094,446
266,udp,64075384323414,47
267,udp,64075425960114,41
268,udp,64075467637494,35
270,udp,64075551050754,21
271,udp,64075592629044,15
272,udp,64075634254674,16
273,udp,64075675901544,15
275,udp,64075759221924,13
276,udp,64075800949704,209
277,udp,64075842613944,22
278,udp,64075884309864,24
279,udp,64075925977074,23
280,udp,64075967615484,20
281,udp,64076009293674,17
283,udp,64076092669044,17
284,udp,64076134459284,15
285,udp,64076175972504,15
286,udp,64076217649884,15
287,udp,64076259323574,15
288,udp,64076300932464,1076
289,udp,64076342637474,186
290,udp,64076384232144,40
291,udp,64076426112024,34
292,udp,64076467625694,62
293,udp,64076509352844,24
294,udp,64076550913854,27
295,udp,64076592613554,25
296,udp,64076634288864,23
297,udp,64076675963364,20
298,udp,64076717607444,17
299,udp,64076759350434,15
300,udp,64076800971564,252
301,udp,64076842680534,21
302,udp,64076884255134,22
303,udp,64076926009014,23
304,udp,64076967646884,21
305,udp,64077009361974,20
306,udp,64077050903544,20
307,udp,64077092613324,19
308,udp,64077134294664,20
309,udp,64077175916154,19
310,udp,64077217713504,19
311,udp,64077259280994,20
312,udp,64077300950634,841
313,udp,64077342834744,89
314,udp,64077384371454,37
315,udp,64077425969004,37
316,udp,64077467576994,83
317,udp,64077509255634,34
318,udp,64077551044164,34
319,udp,64077592655124,26
320,udp,64077634363644,22
321,udp,64077675931944,19
322,udp,64077717773394,20
323,udp,64077759293994,20
324,udp,64077801054444,232
325,udp,64077842652984,33
326,udp,64077884300484,28
327,udp,64077926019354,26
328,udp,64077967642824,26
329,udp,64078009324344,24
330,udp,64078050876984,21
331,udp,64078092695034,22
332,udp,64078134276474,22
333,udp,64078176061494,21
334,udp,64078217712414,22
335,udp,64078259364954,22
336,udp,64078300965204,905
337,udp,64078342796214,128
338,udp,64078384303224,42
339,udp,64078425902934,32
340,udp,64078467715044,45
341,udp,64078509371544,25
342,udp,64078550964324,25
343,udp,64078592635224,19
344,udp,64078634390364,20
345,udp,64078675904394,17
346,udp,64078717765644,19
347,udp,64078759486584,18
348,udp,64078800950844,237
349,udp,64078842637764,30
351,udp,64078925895954,24
352,udp,64078967642904,22
353,udp,64079009454384,20
354,udp,64079051011614,19
355,udp,64079092640484,17
356,udp,64079134466904,18
357,udp,64079175978954,17
358,udp,64079217564804,17
359,udp,64079259334974,16
360,udp,64079300867364,1446
361,udp,64079342602074,220
362,udp,64079384226444,75
364,udp,64079467593264,54
365,udp,64079509273794,25
366,udp,64079550882234,26
368,udp,64079634275064,16
369,udp,64079676117504,15
370,udp,64079717888484,12
371,udp,64079759330154,13
372,udp,64079800955514,196
373,udp,64079842618044,21
374,udp,64079884325754,20
375,udp,64079925927714,17
376,udp,64079967670434,16
377,udp,64080009192204,17
378,udp,64080051044904,18
380,udp,64080134310114,17
381,udp,64080175918284,16
382,udp,64080217656504,15
383,udp,64080259365834,16
384,udp,64080300936564,1115
385,udp,64080342611424,179
386,udp,64080384311124,36
387,udp,64080425996424,34
388,udp,64080467679114,50
389,udp,64080509311584,28
390,udp,64080550993374,26
