frame_index,transport_protocol,receive_time_ns,payload_bytes
0,tcp,50806978068024,6663
1,tcp,50806993226634,121
2,tcp,50806996227684,92
3,tcp,50807030919444,112
4,tcp,50807072557764,94
5,tcp,50807114297514,61
6,tcp,50807155920624,61
7,tcp,50807197654074,49
8,tcp,50807239248564,41
9,tcp,50807280967164,39
10,tcp,50807322543744,35
11,tcp,50807364230574,28
12,tcp,50807405920374,131
13,tcp,50807447685054,26
14,tcp,50807489274594,24
15,tcp,50807530923444,22
16,tcp,50807572571304,19
17,tcp,50807614341564,18
18,tcp,50807656166544,17
19,tcp,50807697604704,17
20,tcp,50807739303324,18
21,tcp,50807780910414,17
22,tcp,50807822553954,17
23,tcp,50807864237094,18
24,tcp,50807905967124,539
25,tcp,50807947768434,80
26,tcp,50807989290654,53
27,tcp,50808030941214,52
28,tcp,50808072646854,45
29,tcp,50808114280584,45
30,tcp,50808156156414,45
31,tcp,50808197595654,41
32,tcp,50808239253054,37
33,tcp,50808280931334,40
34,tcp,50808322568574,39
35,tcp,50808364248564,35
36,tcp,50808405964644,201
37,tcp,50808447718434,39
38,tcp,50808489232824,37
39,tcp,50808530919024,42
40,tcp,50808572577954,39
41,tcp,50808614298084,33
42,tcp,50808655909134,39
43,tcp,50808697613154,37
44,tcp,50808739198194,35
45,tcp,50808780954504,39
46,tcp,50808822625944,36
47,tcp,50808864291894,35
48,tcp,50808905939484,1034
49,tcp,50808947552334,71
50,tcp,50808989256624,48
51,tcp,50809030930134,36
52,tcp,50809072605084,65
53,tcp,50809114299114,20
54,tcp,50809155969834,20
55,tcp,50809197594564,24
56,tcp,50809239256464,20
57,tcp,50809280991624,20
58,tcp,50809322619864,20
59,tcp,50809364244234,20
60,tcp,50809405945914,226
61,tcp,50809447571004,28
62,tcp,50809489227324,28
63,tcp,50809530949794,28
64,tcp,50809572609534,25
65,tcp,50809614320034,26
66,tcp,50809655886804,25
67,tcp,50809697584254,25
68,tcp,50809739206104,22
69,tcp,50809780959534,22
70,tcp,50809822620354,22
71,tcp,50809864279014,22
72,tcp,50809905964494,824
73,tcp,50809947635034,60
74,tcp,50809989287304,42
75,tcp,50810030954694,72
76,tcp,50810072600034,31
77,tcp,50810114291454,29
78,tcp,50810156061174,26
79,tcp,50810197624524,20
80,tcp,50810239243494,18
81,tcp,50810280946164,17
82,tcp,50810322614544,17
83,tcp,50810364265464,18
84,tcp,50810405910264,191
85,tcp,50810447600694,25
86,tcp,50810489270154,21
87,tcp,50810530946544,22
88,tcp,50810572621134,20
89,tcp,50810614436574,20
90,tcp,50810656111254,20
91,tcp,50810697658854,20
92,tcp,50810739462414,20
93,tcp,50810780944764,20
94,tcp,50810822637624,20
95,tcp,50810864323914,20
96,tcp,50810906073114,934
97,tcp,50810947648704,61
98,tcp,50810989345524,39
99,tcp,50811031038834,30
100,tcp,50811072619644,48
101,tcp,50811114336894,26
102,tcp,50811155967924,29
103,tcp,50811197677614,22
104,tcp,50811239337264,20
105,tcp,50811281028054,20
106,tcp,50811322576734,19
107,tcp,50811364350054,20
108,tcp,50811406032744,179
109,tcp,50811447734694,23
110,tcp,50811489296784,22
111,tcp,50811530985414,22
112,tcp,50811572647854,21
113,tcp,50811614321004,22
114,tcp,50811655898394,21
115,tcp,50811697616094,21
116,tcp,50811739258194,22
117,tcp,50811780970584,21
118,tcp,50811822629244,21
119,tcp,50811864266934,22
120,tcp,50811905951424,982
121,tcp,50811947631864,103
122,tcp,50811989296914,37
123,tcp,50812030969164,31
124,tcp,50812072677414,23
125,tcp,50812114339494,22
126,tcp,50812156091484,23
127,tcp,50812197651234,22
128,tcp,50812239350034,22
129,tcp,50812280917254,22
130,tcp,50812322673564,20
131,tcp,50812364267244,20
132,tcp,50812406090424,70
133,tcp,50812447826304,19
134,tcp,50812489353744,20
135,tcp,50812530914394,17
136,tcp,50812572661254,17
137,tcp,50812614325404,18
138,tcp,50812656138864,17
139,tcp,50812697780064,17
140,tcp,50812739360694,18
141,tcp,50812781026914,17
142,tcp,50812822622664,17
143,tcp,50812864310484,18
144,tcp,50812905937554,1140
145,tcp,50812947650574,36
146,tcp,50812989282504,33
147,tcp,50813030939994,32
148,tcp,50813072638884,24
149,tcp,50813114388534,20
150,tcp,50813155950984,20
151,tcp,50813197629174,21
152,tcp,50813239306914,20
153,tcp,50813280954234,19
154,tcp,50813322689664,19
155,tcp,50813364293964,18
156,tcp,50813406004284,192
157,tcp,50813447659434,26
158,tcp,50813489335734,26
159,tcp,50813530957314,29
160,tcp,50813572646124,26
161,tcp,50813614274184,25
162,tcp,50813655943824,27
163,tcp,50813697591234,21
164,tcp,50813739357894,20
165,tcp,50813780926284,19
166,tcp,50813822653704,19
167,tcp,50813864250714,20
168,tcp,50813906028264,648
169,tcp,50813947727694,49
170,tcp,50813989339464,35
171,tcp,50814031021344,36
172,tcp,50814072690624,24
173,tcp,50814114304554,20
174,tcp,50814155967804,17
175,tcp,50814197724924,17
176,tcp,50814239283594,18
177,tcp,50814281001744,17
178,tcp,50814322600914,17
179,tcp,50814364293144,18
180,tcp,50814405925164,219
181,tcp,50814447679044,25
182,tcp,50814489243384,25
183,tcp,50814530976564,26
184,tcp,50814572644044,25
185,tcp,50814614364624,22
186,tcp,50814655966494,22
187,tcp,50814697611204,21
188,tcp,50814739288584,22
189,tcp,50814780935814,21
190,tcp,50814822645324,21
191,tcp,50814864302904,20
192,tcp,50814905963184,1224
193,tcp,50814947598804,212
194,tcp,50814989328474,44
195,tcp,50815030903074,37
196,tcp,50815072652094,54
197,tcp,50815114356654,29
198,tcp,50815156215924,29
199,tcp,50815197665334,28
200,tcp,50815239307524,25
201,tcp,50815280924424,25
202,tcp,50815322651304,21
203,tcp,50815364313744,22
204,tcp,50815405963134,167
205,tcp,50815447620894,31
206,tcp,50815489283334,24
207,tcp,50815530942804,22
208,tcp,50815572602544,20
209,tcp,50815614343914,20
210,tcp,50815655932284,20
211,tcp,50815697605884,20
212,tcp,50815739300094,20
213,tcp,50815780938054,20
214,tcp,50815822558554,20
215,tcp,50815864351134,20
216,tcp,50815905926994,911
217,tcp,50815947605904,51
218,tcp,50815989227214,30
219,tcp,50816030916834,27
220,tcp,50816072674854,23
221,tcp,50816114304804,21
222,tcp,50816155930074,21
223,tcp,50816197559574,19
224,tcp,50816239300314,18
225,tcp,50816280951054,15
226,tcp,50816322684504,15
227,tcp,50816364277554,16
228,tcp,50816406050694,193
229,tcp,50816447602884,21
230,tcp,50816489261544,19
231,tcp,50816530903464,20
232,tcp,50816572636194,17
233,tcp,50816614297104,18
234,tcp,50816656127124,17
235,tcp,50816697600474,18
236,tcp,50816739229614,18
237,tcp,50816780993754,18
238,tcp,50816822647644,17
239,tcp,50816864262924,16
240,tcp,50816905915464,1107
241,tcp,50816947672044,235
242,tcp,50816989215324,45
243,tcp,50817031038594,28
244,tcp,50817072590874,100
245,tcp,50817114313524,32
246,tcp,50817155985054,27
247,tcp,50817197603214,24
248,tcp,50817239272854,22
249,tcp,50817280980834,18
250,tcp,50817345421734,4675
251,tcp,50817376171584,96
252,tcp,50817405913074,204
253,tcp,50817447528084,159
254,tcp,50817489222204,67
255,tcp,50817530856294,51
256,tcp,50817572578134,79
257,tcp,50817614306814,38
258,tcp,50817656063214,37
259,tcp,50817697556724,35
260,tcp,50817739210884,24
261,tcp,50817780967464,20
262,tcp,50817822802074,19
263,tcp,50817864270294,15
264,tcp,50817905942814,446
265,tcp,50817947642064,61
266,tcp,50817989334294,47
267,tcp,50818030928334,41
268,tcp,50818072590234,35
269,tcp,50818114307034,24
270,tcp,50818155942024,21
271,tcp,50818197641004,15
272,tcp,50818239215154,16
273,tcp,50818280902434,15
274,tcp,50818322562714,15
275,tcp,50818364266464,13
276,tcp,50818405939524,209
277,tcp,50818447628244,22
278,tcp,50818489373844,24
279,tcp,50818530922524,23
