frame_index,transport_protocol,receive_time_ns,payload_bytes
0,tcp,56954477978064,6663
1,tcp,56954516149944,121
2,tcp,56954557818414,92
3,tcp,56954599494174,112
4,tcp,56954641173084,94
5,tcp,56954682872154,61
6,tcp,56954724534684,61
7,tcp,56954766113604,49
8,tcp,56954807890164,41
9,tcp,56954849597604,39
10,tcp,56954891218014,35
11,tcp,56954932785504,28
12,tcp,56954974511754,131
13,tcp,56955157938414,26
14,tcp,56955157949304,24
15,tcp,56955157951284,22
16,tcp,56955157952364,19
17,tcp,56955199658454,18
18,tcp,56955241271754,17
19,tcp,56955266160084,17
20,tcp,56955449617164,18
21,tcp,56955449626074,17
22,tcp,56955449627694,17
23,tcp,56955449628864,18
24,tcp,56955491428104,539
25,tcp,56955533052024,80
26,tcp,56955557932524,53
27,tcp,56955599509644,52
28,tcp,56955641236794,45
29,tcp,56955682863144,45
30,tcp,56955724508574,45
31,tcp,56955766143114,41
32,tcp,56955807919854,37
33,tcp,56955849571224,40
34,tcp,56955891179214,39
35,tcp,56955932928504,35
36,tcp,56955974688414,201
37,tcp,56956016207844,39
38,tcp,56956057846344,37
39,tcp,56956099524174,42
40,tcp,56956141228284,39
41,tcp,56956183023744,33
42,tcp,56956224537774,39
43,tcp,56956266150264,37
44,tcp,56956307877144,35
45,tcp,56956349567844,39
46,tcp,56956391194104,36
47,tcp,56956432891014,35
48,tcp,56956474505484,1034
49,tcp,56956516178184,71
50,tcp,56956557875004,48
51,tcp,56956599521154,36
52,tcp,56956641179544,65
53,tcp,56956682965464,20
54,tcp,56956724577414,20
55,tcp,56956766238054,24
56,tcp,56956807913724,20
57,tcp,56956849598844,20
58,tcp,56956891189284,20
59,tcp,56956932799884,20
60,tcp,56956974551064,226
61,tcp,56957016170124,28
62,tcp,56957241276864,28
63,tcp,56957241286674,28
64,tcp,56957241288384,25
65,tcp,56957241290184,26
66,tcp,56957241291264,25
67,tcp,56957283031284,25
68,tcp,56957324607324,22
69,tcp,56957491277784,22
70,tcp,56957491287144,22
71,tcp,56957491288584,22
72,tcp,56957491290384,824
73,tcp,56957574665664,60
74,tcp,56957574676464,42
75,tcp,56957599621314,72
76,tcp,56957674834224,31
77,tcp,56957682815154,29
78,tcp,56957724490644,26
79,tcp,56957775023574,20
80,tcp,56957808139524,18
81,tcp,56957875224264,17
82,tcp,56957891189634,17
83,tcp,56957932856304,18
84,tcp,56957975531334,191
85,tcp,56958016263264,25
86,tcp,56958058026234,21
87,tcp,56958099639714,22
88,tcp,56958141296304,20
89,tcp,56958182911134,20
90,tcp,56958224552064,20
91,tcp,56958266162394,20
92,tcp,56958307854624,20
93,tcp,56958349520034,20
94,tcp,56958391153404,20
95,tcp,56958432887934,20
96,tcp,56958474544344,934
97,tcp,56958516208494,61
98,tcp,56958557888844,39
99,tcp,56958599561004,30
100,tcp,56958641238654,48
101,tcp,56958682944204,26
102,tcp,56958724540674,29
103,tcp,56958766290594,22
104,tcp,56958807966354,20
105,tcp,56958849539964,20
106,tcp,56958891266394,19
107,tcp,56958932864754,20
108,tcp,56958974554104,179
109,tcp,56959016169834,23
110,tcp,56959057876104,22
111,tcp,56959099523694,22
112,tcp,56959141182534,21
113,tcp,56959182909594,22
114,tcp,56959224534504,21
115,tcp,56959266278304,21
116,tcp,56959307840304,22
117,tcp,56959349548824,21
118,tcp,56959391201454,21
119,tcp,56959432845714,22
120,tcp,56959474491774,982
121,tcp,56959516163394,103
122,tcp,56959557872544,37
123,tcp,56959599545694,31
124,tcp,56959641245934,23
125,tcp,56959682845104,22
126,tcp,56959724535444,23
127,tcp,56959766183754,22
128,tcp,56959807873194,22
129,tcp,56959849537704,22
130,tcp,56959891154334,20
131,tcp,56959932799494,20
132,tcp,56959974505494,70
133,tcp,56960016117084,19
134,tcp,56960057913084,20
135,tcp,56960099524944,17
136,tcp,56960141299884,17
137,tcp,56960182868544,18
138,tcp,56960366457564,17
139,tcp,56960366469714,17
140,tcp,56960366471964,18
141,tcp,56960366473944,17
142,tcp,56960449645734,17
143,tcp,56960449674804,18
144,tcp,56960474479974,1140
145,tcp,56960549902404,36
146,tcp,56960557759044,33
147,tcp,56960750349144,32
148,tcp,56960750361294,24
149,tcp,56960750365524,20
150,tcp,56960783063154,20
151,tcp,56960783073684,21
152,tcp,56960850608784,20
153,tcp,56960850618774,19
154,tcp,56960891157924,19
155,tcp,56960950834404,18
156,tcp,56960991388314,192
157,tcp,56961016118514,26
158,tcp,56961057849444,26
159,tcp,56961099556614,29
160,tcp,56961141200604,26
161,tcp,56961182864034,25
162,tcp,56961224511714,27
163,tcp,56961266284674,21
164,tcp,56961307811394,20
165,tcp,56961349485174,19
166,tcp,56961391211874,19
167,tcp,56961432866034,20
168,tcp,56961474611904,648
169,tcp,56961516159774,49
170,tcp,56961557846694,35
171,tcp,56961599540184,36
172,tcp,56961641190744,24
