frame_index,transport_protocol,receive_time_ns,payload_bytes
0,tcp,43373791650204,6663
1,tcp,43373806731504,121
2,tcp,43373809822014,92
3,tcp,43373886116724,112
4,tcp,43373886127704,94
5,tcp,43373969513244,61
6,tcp,43373969523324,61
7,tcp,43374052858914,49
8,tcp,43374052875924,41
9,tcp,43374136116294,39
10,tcp,43374136126374,35
11,tcp,43374219445944,28
12,tcp,43374219457644,131
13,tcp,43374302853894,26
14,tcp,43374302865864,24
15,tcp,43374386157354,22
16,tcp,43374386169144,19
17,tcp,43374469542264,18
18,tcp,43374469555314,17
19,tcp,43374552827904,17
20,tcp,43374552837624,18
21,tcp,43374636151974,17
22,tcp,43374636162594,17
23,tcp,43374719467224,18
24,tcp,43374719479194,539
25,tcp,43374802818024,80
26,tcp,43374802829814,53
27,tcp,43374886137504,52
28,tcp,43374886148304,45
29,tcp,43374969432054,45
30,tcp,43374969442134,45
31,tcp,43375052792754,41
32,tcp,43375052802834,37
33,tcp,43375136126094,40
34,tcp,43375419637434,39
35,tcp,43375419648324,35
36,tcp,43375419650214,201
37,tcp,43375419651474,39
38,tcp,43375419652644,37
39,tcp,43375419653814,42
40,tcp,43375419658314,39
41,tcp,43375469425344,33
42,tcp,43375502917314,39
43,tcp,43375808214054,37
44,tcp,43375808224314,35
45,tcp,43375808225754,39
46,tcp,43375808226924,36
47,tcp,43375808227914,35
48,tcp,43375808230344,1034
49,tcp,43375808232414,71
50,tcp,43375808233944,48
51,tcp,43375886194914,36
52,tcp,43375886205804,65
53,tcp,43375969503414,20
54,tcp,43375969513314,20
55,tcp,43376052885264,24
56,tcp,43376052895434,20
57,tcp,43376136152544,20
58,tcp,43376136165954,20
59,tcp,43376219521794,20
60,tcp,43376219532414,226
61,tcp,43376302818234,28
62,tcp,43376302833264,28
63,tcp,43376386175064,28
64,tcp,43376386188924,25
65,tcp,43376469585984,26
66,tcp,43376469601644,25
67,tcp,43376552762904,25
68,tcp,43376552774244,22
69,tcp,43376636132514,22
70,tcp,43376636142324,22
71,tcp,43376719548564,22
72,tcp,43376719565574,824
73,tcp,43376802805044,60
74,tcp,43376802815664,42
75,tcp,43376886178974,72
76,tcp,43376886189504,31
77,tcp,43376969517894,29
78,tcp,43376969528334,26
79,tcp,43377052763304,20
80,tcp,43377052773294,18
81,tcp,43377136131294,17
82,tcp,43377136141734,17
83,tcp,43377219474354,18
84,tcp,43377219484434,191
85,tcp,43377302779074,25
86,tcp,43377302789064,21
87,tcp,43377386138874,22
88,tcp,43377386149584,20
