frame_index,transport_protocol,receive_time_ns,payload_bytes
0,tcp,46924661448684,6663
1,tcp,46924741427814,121
2,tcp,46924741439514,92
3,tcp,46924824855834,112
4,tcp,46924824876174,94
5,tcp,46924908157944,61
6,tcp,46924908173334,61
7,tcp,46924991398044,49
8,tcp,46924991407944,41
9,tcp,46925074900674,39
10,tcp,46925074917954,35
11,tcp,46925158091274,28
12,tcp,46925158106214,131
13,tcp,46925241353064,26
14,tcp,46925241362244,24
15,tcp,46925324734914,22
16,tcp,46925324745444,19
17,tcp,46925408141154,18
18,tcp,46925408156004,17
19,tcp,46925491468734,17
20,tcp,46925491482144,18
21,tcp,46925574774624,17
22,tcp,46925574788214,17
23,tcp,46925658069264,18
24,tcp,46925658086724,539
25,tcp,46925741366334,80
26,tcp,46925741377674,53
27,tcp,46925824716864,52
28,tcp,46925824727394,45
29,tcp,46925908171434,45
30,tcp,46925908185024,45
31,tcp,46925991455454,41
32,tcp,46925991470214,37
33,tcp,46926074875014,40
34,tcp,46926074895624,39
35,tcp,46926158074254,35
36,tcp,46926158084874,201
37,tcp,46926241462314,39
38,tcp,46926241478424,37
39,tcp,46926324978354,42
40,tcp,46926324997254,39
41,tcp,46926408089754,33
42,tcp,46926408100554,39
43,tcp,46926491471694,37
44,tcp,46926491485104,35
45,tcp,46926574830234,39
46,tcp,46926574844544,36
47,tcp,46926658021644,35
48,tcp,46926658033704,1034
49,tcp,46926741417534,71
50,tcp,46926741428064,48
51,tcp,46926824759604,36
52,tcp,46926824770944,65
53,tcp,46926908061444,20
54,tcp,46926908070624,20
55,tcp,46926991576944,24
56,tcp,46926991591434,20
57,tcp,46927074756924,20
58,tcp,46927074767544,20
59,tcp,46927157987124,20
60,tcp,46927157996754,226
61,tcp,46927241381214,28
62,tcp,46927241390574,28
63,tcp,46927324647054,28
64,tcp,46927324656144,25
65,tcp,46927408075704,26
66,tcp,46927408090194,25
67,tcp,46927491370164,25
68,tcp,46927491380514,22
69,tcp,46927574785944,22
70,tcp,46927574798004,22
71,tcp,46927658112264,22
72,tcp,46927658124234,824
73,tcp,46927741556034,60
74,tcp,46927741571964,42
75,tcp,46927824789654,72
76,tcp,46927824801444,31
77,tcp,46927908059184,29
78,tcp,46927908069174,26
79,tcp,46927991449494,20
80,tcp,46927991463624,18
81,tcp,46928074767894,17
82,tcp,46928074782474,17
83,tcp,46928158022034,18
84,tcp,46928158032024,191
85,tcp,46928241409644,25
86,tcp,46928241423684,21
87,tcp,46928324783124,22
88,tcp,46928324796804,20
89,tcp,46928408090634,20
90,tcp,46928408100174,20
91,tcp,46928491389144,20
92,tcp,46928491399764,20
93,tcp,46928574714834,20
94,tcp,46928574724014,20
95,tcp,46928658032874,20
96,tcp,46928658044394,934
97,tcp,46928741373144,61
98,tcp,46928741382684,39
99,tcp,46928824707024,30
100,tcp,46928824717104,48
101,tcp,46928908534104,26
102,tcp,46928908559394,29
103,tcp,46928991360384,22
104,tcp,46928991369924,20
105,tcp,46929074772474,20
106,tcp,46929074784174,19
107,tcp,46929158101944,20
108,tcp,46929158119584,179
109,tcp,46929241371384,23
110,tcp,46929241381374,22
111,tcp,46929324742164,22
112,tcp,46929324751524,21
113,tcp,46929408067854,22
114,tcp,46929408077934,21
115,tcp,46929491387514,21
116,tcp,46929491398224,22
117,tcp,46929574707264,21
118,tcp,46929574718244,21
119,tcp,46929658055004,22
120,tcp,46929658072374,982
121,tcp,46929741447384,103
122,tcp,46929741459804,37
123,tcp,46929824771274,31
124,tcp,46929824783064,23
125,tcp,46929907985364,22
126,tcp,46929908045394,23
127,tcp,46929991416084,22
128,tcp,46929991425714,22
129,tcp,46930074702804,22
130,tcp,46930074715674,20
131,tcp,46930158030834,20
132,tcp,46930158040554,70
133,tcp,46930241343114,19
134,tcp,46930241353374,20
135,tcp,46930324826934,17
136,tcp,46930324842054,17
137,tcp,46930408173684,18
138,tcp,46930408189434,17
139,tcp,46930491405054,17
140,tcp,46930491422694,18
141,tcp,46930574773764,17
142,tcp,46930574787354,17
143,tcp,46930658089824,18
144,tcp,46930658100084,1140
145,tcp,46930741597314,36
146,tcp,46930741607844,33
147,tcp,46930824888894,32
148,tcp,46930824898704,24
149,tcp,46930907977074,20
150,tcp,46930907987784,20
151,tcp,46930991426964,21
152,tcp,46930991440914,20
153,tcp,46931074761834,19
154,tcp,46931074772454,19
155,tcp,46931158007064,18
156,tcp,46931158017144,192
157,tcp,46931241370554,26
158,tcp,46931241379824,26
159,tcp,46931324743854,29
160,tcp,46931324754024,26
161,tcp,46931408063694,25
162,tcp,46931408073054,27
163,tcp,46931491382724,21
164,tcp,46931491392084,20
165,tcp,46931574789144,19
166,tcp,46931574805344,19
167,tcp,46931658040134,20
168,tcp,46931658058674,648
169,tcp,46931741469954,49
170,tcp,46931741487144,35
171,tcp,46931824759014,36
172,tcp,46931824778094,24
173,tcp,46931908229064,20
174,tcp,46931908246884,17
175,tcp,46931991525954,17
176,tcp,46931991543954,18
177,tcp,46932074689734,17
178,tcp,46932074698644,17
179,tcp,46932158228274,18
180,tcp,46932158241504,219
181,tcp,46932241404474,25
182,tcp,46932241413924,25
183,tcp,46932324687504,26
184,tcp,46932324697584,25
185,tcp,46932408104724,22
186,tcp,46932408114264,22
187,tcp,46932491330244,21
188,tcp,46932491340144,22
189,tcp,46932574697784,21
190,tcp,46932574708224,21
191,tcp,46932658106904,20
192,tcp,46932658119054,1224
193,tcp,46932741341334,212
194,tcp,46932741352044,44
195,tcp,46932824715444,37
196,tcp,46932824725074,54
197,tcp,46932908055264,29
198,tcp,46932908066424,29
199,tcp,46932991406514,28
200,tcp,46932991420014,25
201,tcp,46933074702504,25
202,tcp,46933074712224,21
203,tcp,46933158061134,22
204,tcp,46933158071934,167
205,tcp,46933241464224,31
206,tcp,46933241475114,24
207,tcp,46933324784784,22
208,tcp,46933324800084,20
209,tcp,46933408246014,20
210,tcp,46933408264374,20
211,tcp,46933491434184,20
212,tcp,46933491444444,20
213,tcp,46933574763924,20
214,tcp,46933574773284,20
215,tcp,46933658074944,20
216,tcp,46933658097084,911
217,tcp,46933741399104,51
218,tcp,46933741409004,30
219,tcp,46933824764484,27
220,tcp,46933824776274,23
221,tcp,46933908092874,21
222,tcp,46933908104574,21
223,tcp,46933991365194,19
224,tcp,46933991374734,18
225,tcp,46934074735164,15
226,tcp,46934074744884,15
227,tcp,46934158079574,16
228,tcp,46934158089474,193
229,tcp,46934241358104,21
230,tcp,46934241368634,19
231,tcp,46934324802684,20
232,tcp,46934324813214,17
233,tcp,46934408140524,18
234,tcp,46934408152044,17
235,tcp,46934491489884,18
236,tcp,46934491510494,18
237,tcp,46934574693444,18
238,tcp,46934574705504,17
239,tcp,46934658084564,16
240,tcp,46934658105624,1107
241,tcp,46934741522664,235
242,tcp,46934741537694,45
243,tcp,46934824886694,28
244,tcp,46934824903074,100
245,tcp,46934908089894,32
246,tcp,46934908100064,27
247,tcp,46934991421164,24
248,tcp,46934991431514,22
249,tcp,46935074704104,18
250,tcp,46935075846744,4675
251,tcp,46935158055264,96
252,tcp,46935158069664,204
253,tcp,46935241412184,159
254,tcp,46935241422894,67
255,tcp,46935324721584,51
256,tcp,46935324731214,79
257,tcp,46935408126744,38
258,tcp,46935408139794,37
259,tcp,46935491506614,35
260,tcp,46935491528124,24
261,tcp,46935574717464,20
262,tcp,46935574727544,19
263,tcp,46935658076634,15
264,tcp,46935658093914,446
265,tcp,46935741335544,61
266,tcp,46935741346254,47
267,tcp,46935824727744,41
268,tcp,46935824741964,35
269,tcp,46935908105994,24
270,tcp,46935908116794,21
271,tcp,46935991460484,15
272,tcp,46935991479024,16
273,tcp,46936074793734,15
274,tcp,46936074809034,15
275,tcp,46936158239034,13
276,tcp,46936158254514,209
277,tcp,46936241450784,22
278,tcp,46936241460954,24
279,tcp,46936324794024,23
280,tcp,46936324805184,20
281,tcp,46936408092444,17
282,tcp,46936408102974,17
283,tcp,46936491358014,17
284,tcp,46936491367734,15
285,tcp,46936574724024,15
286,tcp,46936574734644,15
287,tcp,46936658039544,15
288,tcp,46936658051334,1076
289,tcp,46936741339674,186
290,tcp,46936741350024,40
291,tcp,46936824804414,34
292,tcp,46936824815574,62
293,tcp,46936908128844,24
294,tcp,46936908142524,27
295,tcp,46936991403684,25
296,tcp,46936991416194,23
297,tcp,46937074733064,20
298,tcp,46937074747284,17
299,tcp,46937158067754,15
300,tcp,46937158077564,252
301,tcp,46937241339894,21
302,tcp,46937241352134,22
303,tcp,46937324690064,23
304,tcp,46937324699784,21
305,tcp,46937408206014,20
306,tcp,46937408216184,20
307,tcp,46937491594254,19
308,tcp,46937491629714,20
309,tcp,46937574805644,19
310,tcp,46937574822834,19
311,tcp,46937658072654,20
312,tcp,46937658086334,841
313,tcp,46937741455224,89
314,tcp,46937741466204,37
315,tcp,46937824791174,37
316,tcp,46937824805754,83
317,tcp,46937908518444,34
318,tcp,46937908550304,34
319,tcp,46937991363804,26
320,tcp,46937991375864,22
321,tcp,46938074731794,19
322,tcp,46938074744574,20
323,tcp,46938158099154,20
324,tcp,46938158112924,232
325,tcp,46938241427814,33
326,tcp,46938241439244,28
327,tcp,46938324677814,26
328,tcp,46938324687984,26
329,tcp,46938408083784,24
330,tcp,46938408094224,21
331,tcp,46938491457984,22
332,tcp,46938491475534,22
333,tcp,46938574723734,21
334,tcp,46938574735524,22
335,tcp,46938658042224,22
336,tcp,46938658054374,905
337,tcp,46938741442704,128
338,tcp,46938741454134,42
339,tcp,46938824802144,32
340,tcp,46938824815194,45
341,tcp,46938908151684,25
342,tcp,46938908164284,25
343,tcp,46938991500054,19
344,tcp,46938991516254,20
345,tcp,46939074716304,17
346,tcp,46939074725574,19
347,tcp,46939158073494,18
348,tcp,46939158084114,237
349,tcp,46939241426274,30
350,tcp,46939241437074,27
351,tcp,46939324653774,24
352,tcp,46939324663584,22
353,tcp,46939407973884,20
354,tcp,46939407983874,19
355,tcp,46939491389574,17
356,tcp,46939491399564,18
357,tcp,46939574702394,17
358,tcp,46939574712654,17
359,tcp,46939658052654,16
360,tcp,46939658064444,1446
361,tcp,46939741376994,220
362,tcp,46939741386714,75
363,tcp,46939824747774,48
