frame_index,transport_protocol,receive_time_ns,payload_bytes
0,tcp,49188976583724,6663
1,tcp,49189056521184,121
2,tcp,49189056533514,92
3,tcp,49189139760834,112
4,tcp,49189139771184,94
5,tcp,49189223108664,61
6,tcp,49189223119284,61
7,tcp,49189306399254,49
8,tcp,49189306409064,41
9,tcp,49189389767064,39
10,tcp,49189389779484,35
11,tcp,49189473067554,28
12,tcp,49189473078894,131
13,tcp,49189556449044,26
14,tcp,49189556464434,24
15,tcp,49189639827744,22
16,tcp,49189639842864,19
17,tcp,49189723203204,18
18,tcp,49189723220664,17
19,tcp,49189806417384,17
20,tcp,49189806430344,18
21,tcp,49189889745684,17
22,tcp,49189889755854,17
23,tcp,49189973077494,18
24,tcp,49189973089644,539
25,tcp,49190056378254,80
26,tcp,49190056389504,53
27,tcp,49190139745524,52
28,tcp,49190139755424,45
29,tcp,49190223063654,45
30,tcp,49190223073914,45
31,tcp,49190306460624,41
32,tcp,49190306475294,37
33,tcp,49190648286024,40
34,tcp,49190648301414,39
35,tcp,49190648304294,35
36,tcp,49190648307804,201
37,tcp,49190648315994,39
38,tcp,49190648318244,37
39,tcp,49190648320494,42
40,tcp,49190648322474,39
41,tcp,49190723108334,33
42,tcp,49190723119314,39
43,tcp,49190806445904,37
44,tcp,49190841119664,35
45,tcp,49190889719484,39
46,tcp,49190889730554,36
47,tcp,49190973116904,35
48,tcp,49190973137514,1034
49,tcp,49191056596314,71
50,tcp,49191056613864,48
51,tcp,49191139967544,36
52,tcp,49191139995174,65
53,tcp,49191223007754,20
54,tcp,49191223023594,20
55,tcp,49191306415074,24
56,tcp,49191306425154,20
57,tcp,49191389722044,20
58,tcp,49191389734824,20
59,tcp,49191473118114,20
60,tcp,49191473134134,226
61,tcp,49191556536324,28
62,tcp,49191556552434,28
63,tcp,49191639832674,28
64,tcp,49191639845724,25
65,tcp,49191723170154,26
66,tcp,49191723184644,25
67,tcp,49191806434104,25
68,tcp,49191806444814,22
69,tcp,49191889880574,22
70,tcp,49191889892184,22
71,tcp,49191973199604,22
72,tcp,49191973210854,824
73,tcp,49192056496224,60
74,tcp,49192056507474,42
75,tcp,49192139750454,72
76,tcp,49192139760444,31
77,tcp,49192223040144,29
78,tcp,49192223053914,26
79,tcp,49192306431264,20
80,tcp,49192306442064,18
81,tcp,49192389683694,17
82,tcp,49192389694314,17
83,tcp,49192473181824,18
84,tcp,49192473203604,191
85,tcp,49192556591574,25
86,tcp,49192556611734,21
87,tcp,49192639739244,22
88,tcp,49192639753194,20
89,tcp,49192723057194,20
90,tcp,49192723067454,20
91,tcp,49192806381084,20
92,tcp,49192806391434,20
93,tcp,49192889840514,20
94,tcp,49192889861214,20
95,tcp,49192973105724,20
96,tcp,49192973121114,934
97,tcp,49193056374444,61
98,tcp,49193056385334,39
99,tcp,49193139684834,30
100,tcp,49193139695994,48
101,tcp,49193223044094,26
102,tcp,49193223054804,29
103,tcp,49193306465904,22
104,tcp,49193306475894,20
105,tcp,49193389811664,20
106,tcp,49193389822194,19
107,tcp,49193473156884,20
108,tcp,49193473168674,179
109,tcp,49193556440634,23
110,tcp,49193556451164,22
111,tcp,49193639839134,22
112,tcp,49193639856864,21
113,tcp,49193723096784,22
114,tcp,49193723106774,21
115,tcp,49193806419234,21
116,tcp,49193806429314,22
117,tcp,49193889914124,21
118,tcp,49193889932574,21
119,tcp,49193973284814,22
120,tcp,49193973305694,982
121,tcp,49194056485494,103
122,tcp,49194056502144,37
123,tcp,49194139804614,31
124,tcp,49194139817484,23
125,tcp,49194223112304,22
126,tcp,49194223126434,23
127,tcp,49194306459864,22
128,tcp,49194306470304,22
129,tcp,49194389700054,22
130,tcp,49194389710224,20
131,tcp,49194473089284,20
132,tcp,49194473099904,70
133,tcp,49194556401024,19
134,tcp,49194556411554,20
135,tcp,49194639823464,17
136,tcp,49194639837774,17
137,tcp,49194723073554,18
138,tcp,49194723086874,17
139,tcp,49194806605524,17
140,tcp,49194806619654,18
141,tcp,49194889963434,17
142,tcp,49194889985124,17
143,tcp,49194973064934,18
144,tcp,49194973079784,1140
145,tcp,49195056530214,36
146,tcp,49195056549024,33
147,tcp,49195139823684,32
148,tcp,49195139840604,24
149,tcp,49195223142534,20
150,tcp,49195223159994,20
151,tcp,49195306542294,21
152,tcp,49195306565064,20
153,tcp,49195389802824,19
154,tcp,49195389819834,19
155,tcp,49195473107364,18
156,tcp,49195473118704,192
157,tcp,49195556410824,26
158,tcp,49195556421084,26
159,tcp,49195639761174,29
160,tcp,49195639771614,26
161,tcp,49195723090104,25
162,tcp,49195723105854,27
163,tcp,49195806403554,21
164,tcp,49195806421374,20
165,tcp,49195889788914,19
166,tcp,49195889801244,19
167,tcp,49195973106954,20
168,tcp,49195973121354,648
169,tcp,49196056444164,49
170,tcp,49196056455594,35
171,tcp,49196139829344,36
172,tcp,49196139839964,24
173,tcp,49196223104724,20
174,tcp,49196223115524,17
175,tcp,49196306595744,17
176,tcp,49196306606814,18
177,tcp,49196389785714,17
178,tcp,49196389802724,17
179,tcp,49196473266384,18
180,tcp,49196473278804,219
181,tcp,49196556488484,25
